id,name,traegerschaft,bezugsjahr
115,"Leimbach (Linth-Escher)","Linth-Escher",1946
116,"Sunnige Hof 8a-8b (Alterssiedlung)","Sunnige Hof",1969
117,"Im Bergdörfli","Entlisberg",1914
118,"Kolonie II (Anwandstr. 31-35, Schreinerstr. 50-54, Kanzleistr. 92-96,","Gemeinnützige Bau- und Mietergenossenschaft (GBMZ)",1926
119,"10./11. Et. (Burriweg)","Vitasana",2001
120,"3. Et. (Alfred-Strebel-Weg)","Graphika",1960
121,"Hönggerberg (ABZ)","Allgemeine Baugenossenschaft Zürich (ABZ)",1973
122,"ZH-Altstetten","Wohn- und Siedlungsgenossenschaft (WSGZ)",1992
123,"Wehntalerstr. (LIGO)","LIGO",1926
54,"4. Et. (Schwamendingenstr. 120-124)","Werdmühle",1979
55,"Guggach 2 (Grebelackerstr. 6-16)","Strassenbahner Zürich",1929
56,"Grünau/Tüffenwies","Sunnige Hof",1976
57,"Glaubtenstr. II","Liegenschaftenverwaltung",1964
58,"Witikon (WSGZ)","Wohn- und Siedlungsgenossenschaft (WSGZ)",2004
59,"Rütihof 2","Sonnengarten",1997
60,"1. Et. (Eugen-Huber-, Feldblumenstr.)","Alpenblick",1945
61,"Ottenweg","Wohnheime im Seefeld",0
62,"Zurlindenstr.","Allgemeine Baugenossenschaft Zürich (ABZ)",1932
63,"Oerlikon 2 (Regensbergstr. 47)","Strassenbahner Zürich",1973
64,"Alterssiedlung Friedbrunnen","Friedbrunnen",1982
65,"Dachslernstr. (Zum Korn)","Zum Korn",1947
66,"Rotbuch","Waidberg",1929
67,"Limmattalstr. 216","WOGENO",1995
68,"Luegislandstr. (BAHOGE)","BAHOGE",1964
69,"3. Et. (Schwamendingenstr. 116-118)","Werdmühle",1976
70,"Birmensdorferstr. (Birmensdorferstr. 486-488)","Turicum",1968
71,"ZH-Wollishofen Mutschellenstrasse 136","Wohn- und Siedlungsgenossenschaft (WSGZ)",1965
72,"Roswiesen (Baufreunde)","Baufreunde",2005
73,"Herrlig Altstetten","Allgemeine Baugenossenschaft Zürich (ABZ)",1947
74,"Gellertstr./Voltastr.","Fluntern",1977
75,"Waidfusseg I","Allgemeine Baugenossenschaft Zürich (ABZ)",1936
76,"Bruderwies 1+2","Linth-Escher",1946
77,"Grünau (SAW)","Stiftung Alterswohnungen der Stadt Zürich (SAW)",1975
78,"Dachslernstr. (Heimeli)","Heimeli",1945
79,"Im oberen Boden, Rütihof","Liberale Höngg und Wipkingen",1985
80,"Köchlistr.","Alterswohnbauten Aussersihl",1984
81,"Höngg (Tobeleggweg 5)","Zurlinden",1971
82,"Kolonie 2 (Fabrikstr. 29-33; Heinrichstr. 123-125)","Röntgenhof",1927
139,"Wohnkolonie 1924","BEROWISA",1924
140,"7. Et. (Holzwiesweg 51-55, Mühlezelgstr. 14-16, 20-22)","Limmattal (GBL)",1950
141,"Schärenmoosstr.","Luegisland",1949
142,"Pfirsichstrasse 5","Jugendwohnhilfe",1999
143,"10. Et. (Letzigraben 209-221, 195-199)","Limmattal (GBL)",1954
144,"Hubenstr. 67-69","WOGENO",1988
145,"Glaubtenstr. I","Liegenschaftenverwaltung",1961
146,"Moosstrasse","Allgemeine Baugenossenschaft Zürich (ABZ)",1934
147,"Butzen (Waidberg)","Waidberg",1945
181,"Guggach 1 (Grebelackerstr. 20-45, Bucheggstr. 107)","Strassenbahner Zürich",1928
182,"Sunnige Hof, Probsteistr., Moosacker","Sunnige Hof",1943
183,"1. Et. (Gutstr. 64-100, 91-101)","Im Gut",1949
184,"Rigiplatz (WSGZ)","Wohn- und Siedlungsgenossenschaft (WSGZ)",0
190,"Kronwiesen III","Glattal",1953
191,"Neuguet","Hagenbrünneli",1950
192,"Käferholz (Brunnenhof)","Brunnenhof",1974
193,"Lägernstrasse 35, 37; Rosengartenstrasse 80","Stiftung PWG",2002
194,"Neuwiesen II","Glattal",1956
195,"24. Et. (Hegianwandweg)","Familienheim-Genossenschaft (FGZ)",2003
196,"7. Etappe (Oberstrass)","Oberstrass",1929
185,"Et. VIII (Schauenberg)","Süd-Ost",1974
186,"Werdhölzli","Stiftung Alterswohnungen der Stadt Zürich (SAW)",1973
187,"Goldregenweg Oerlikon","Allgemeine Baugenossenschaft Zürich (ABZ)",1951
188,"Kolonie 2 (Haldenstr. 149-153, Friesenbergstr. 28, 32, 36, Talwiesenst","Wiedinghof",1930
189,"15. Et. (Am Chatzebach)","Milchbuck",1986
148,"Heuried","Liegenschaftenverwaltung",1974
149,"Albishof (Hegianwandweg 27-29, Uetlibergstr. 230)","Strassenbahner Zürich",1964
150,"Limmat II","Liegenschaftenverwaltung",1985
151,"Staudenbühl","Hagenbrünneli",1965
152,"Irchel","Heimelig",1929
153,"Suteracher IV (Am Suteracher)","Frohheim",1971
154,"Stiglenstr.","Liegenschaftenverwaltung",2001
155,"11. Et. (Ernst-Zöbeli-Str. 1, 5-9 (früher Dachslernstr.))","Halde Zürich",1960
156,"Hochhäuser","Zurlinden",2003
157,"Forchstrasse, Russenweg (ABZ)","Allgemeine Baugenossenschaft Zürich (ABZ)",1922
158,"Konradstr.","Stiftung Alterswohnungen der Stadt Zürich (SAW)",1994
159,"Bächlerstrasse","Studentisches Wohnen",0
160,"2. Et. (Hofwiesenstr. 83-89","Vrenelisgärtli",1931
161,"Saatlen I","Glattal",1974
162,"Sydefädeli (SAW)","Stiftung Alterswohnungen der Stadt Zürich (SAW)",1984
163,"Friesenberg (KR)","Kinderreiche Familien, Stiftung (KR)",1963
164,"5. Et. (Gutstr. 145-153)","Im Gut",1955
165,"Waffenplatzstrasse","Mieter-Baugenossenschaft Zürich (MBGZ)",1929
166,"Bombach (neu Frankental)","Stiftung Alterswohnungen der Stadt Zürich (SAW)",1963
167,"Wasserwerk 1","Eidgenössisches Personal (BEP)",1945
168,"Triemli (Sonnengarten Neubau)","Sonnengarten",2011
169,"Hirzenbach (Eigengrund)","Eigengrund",1958
170,"Oerlikon 4 (Regensbergstrasse)","Allgemeine Baugenossenschaft Zürich (ABZ)",1933
171,"Albisrieden (Langgrütstrasse 121/123)","GEWOBAG",2009
172,"Birmensdorferstrasse 467","Rotach",2006
173,"Kolonie 4 (Guggachstr. 37-39, 43-45, 49-59)","Wiedinghof",1946
174,"3. Et. (Feldblumenstr.)","Alpenblick",1972
175,"Seebach (Schaffhauserstr. 406-408)","ASIG",1985
176,"Wibich","Waidberg",1928
177,"Badenerstr. 280","Studentisches Wohnen",1997
178,"Birkenhof","Liegenschaftenverwaltung",1926
179,"Höngg (Grossmannstr.)","Linth-Escher",1995
180,"Hohlstr.  78","Stiftung PWG",2005
223,"Utohof","Liegenschaftenverwaltung",1973
224,"Klebestr.","SBW",2002
225,"Sydefädeli (LV)","Liegenschaftenverwaltung",1984
226,"Ottostrasse","Allgemeine Baugenossenschaft Zürich (ABZ)",1927
227,"Saatlen II","Glattal",1986
228,"Schwandenholz","Zentralstrasse",1998
229,"Frohalp (Entlisbergstr. 4, Hesenlooweg 3-5)","Strassenbahner Zürich",1970
230,"Riedenhalde","Stiftung Alterswohnungen der Stadt Zürich (SAW)",1979
231,"Ahorn","Glattal",1973
232,"Karl-Stauffer-Str. 15-19","Burgmatte",1960
233,"Guggach 4 (Bucheggstr. 103)","Strassenbahner Zürich",1972
234,"3. Et. (Seminarstr. 91-103, Rötelstr. 94)","Vrenelisgärtli",1933
235,"Wallisellenstrasse (328-332; 340-342)","ASIG",1945
236,"Zweierstrasse 56 (Dreieck)","Das Dreieck",1998
237,"Zweierstrasse","Allgemeine Baugenossenschaft Zürich (ABZ)",1926
238,"Rütihof I","Allgemeine Baugenossenschaft Zürich (ABZ)",1983
239,"Mutschellenstrasse 52-64 (Zürich 2)","Zürich 2",1929
240,"August-Forel-Strasse (Burgmatte)","Burgmatte",2004
241,"Zschokkestr. 11/15","Kyburg",1933
242,"Badenerstrasse 380","Zurlinden",0
243,"5. u. 6. Et. (Kleinalbis)","Familienheim-Genossenschaft (FGZ)",1931
244,"Letten (Lettenstr. 26, 27, 31, Moosbergerweg 4, 5, Nordstr. 113-123, 2","Letten",1924
245,"Manegg (St. Jakob)","St. Jakob",1949
246,"Leimbachstrasse","Allgemeine Baugenossenschaft Zürich (ABZ)",1926
247,"Oerlikon (BEP)","Eidgenössisches Personal (BEP)",1969
248,"Letten 1-3","Eidgenössisches Personal (BEP)",1922
249,"Tabakfabrik Weber","Stiftung PWG",1999
250,"1. Etappe (Oberstrass)","Oberstrass",1924
251,"Rütihof II","Allgemeine Baugenossenschaft Zürich (ABZ)",1990
252,"16. Et. (Albisrieden: Sackzelg 34-36)","Limmattal (GBL)",1973
253,"Höngg (Riedhof)","GEWOBAG",1984
254,"Müllerstr. 67","Jugendwohnhilfe",1990
255,"Et. XII (Bodenacker)","Süd-Ost",2002
256,"Wydäcker 1 (Wydäckerring 84-86, 101-135, 108-112, 126-132,)","Sonnengarten",1950
264,"Albisrieden I (Fellenberg-, Langgrütstr.)","GEWOBAG",1947
265,"8. Etappe (Oberstrass)","Oberstrass",1930
266,"Goldacker 1 (Rossackerstr. 86-88, Triemlistr. 112-144)","Sonnengarten",1947
267,"Hofwiesenstr.","LIGO",1937
268,"Sihlfeldstr.","Zentralstrasse",1921
269,"Suteracher V (Am Suteracher)","Frohheim",1974
257,"Oberwiesenstr.","Allgemeine Baugenossenschaft Zürich (ABZ)",1944
258,"Kanzleistrasse 72","Stiftung PWG",2004
259,"Glattstegweg (Glattstegweg 56-94, Heidwiesen 1-9)","ASIG",1952
260,"Et. 1a/1b (Wehntalerstr.)","Brunnenhof",1945
261,"Selnau","Liegenschaftenverwaltung",1995
262,"6. Et. (Altwiesenstr.)","Milchbuck",1960
263,"Albisstr. 52-60","Zürich 2, Gemeinnützige",1930
197,"Am Wasser 100-120","Eigengrund",1999
198,"Untermoos","St. Jakob",1971
199,"Bleulerstr. 3-9","Riesbach",1926
200,"Kraftwerk 1","Kraftwerk",2001
201,"Wasserwerk 2","Eidgenössisches Personal (BEP)",1947
202,"Kolonie 7 (Erismannstr. 44-52; Kanzleistr. 201)","Röntgenhof",1931
203,"Letten","Stiftung Alterswohnungen der Stadt Zürich (SAW)",1962
204,"Albisriederstrasse 416, 418","Stiftung PWG",1997
205,"Am Glattbogen (Wallisellenstr. 401-439, Am Glattbogen 2-132, 138-172,","ASIG",1950
206,"Wipkingen","Allgemeine Baugenossenschaft Zürich (ABZ)",1924
207,"Wallisellen Süd","Zentralstrasse",1944
208,"Germaniastr. 103","Studentisches Wohnen",1995
209,"Frohburgstrasse","Allgemeine Baugenossenschaft Zürich (ABZ)",1993
210,"Farbhof","Liegenschaftenverwaltung",1957
211,"Siedlung 19 A-Park","Zurlinden",2008
212,"Seebach (Birchstr.)","GEWOBAG",1949
213,"Gattikerstrasse","Stiftung Alterswohnungen der Stadt Zürich (SAW)",1967
214,"Regina-Kägi-Hof","Allgemeine Baugenossenschaft Zürich (ABZ)",2000
215,"Nordstr.","Liegenschaftenverwaltung",1918
216,"1. Et. (Tuschgenweg 50-60, 70-78, 90-96, 110-116, 49-111, Stotzweg 34-","Kleeweid",1948
217,"Förrlibuckstrasse 224 + 226","Stiftung PWG",0
218,"Bockhornstr. 1","Zurlinden",2000
219,"Neeserweg","Heimet",1953
220,"Industrie 1","Eidgenössisches Personal (BEP)",1915
221,"Rosengartenstr. 26","Kyburg",1929
222,"Hardegg","Zurlinden",2004
270,"Dolderstrasse 23, 25","Stiftung PWG",1999
271,"Industrie 2","Eidgenössisches Personal (BEP)",1920
272,"Et. V (Obsthalde II: Primel-/Erchenbühlstr.)","Süd-Ost",1950
273,"Rossacker (Rossackerstr., Goldackerweg, Schützenrain)","Frohheim",1952
274,"Witikon","Witikon Alterssiedlung",1972
275,"Riedenhalden","Waidmatt",1957
276,"Leonhard-Ragaz-Weg","Turicum",1999
277,"Kolonie 4 (Josefstr. 188-192; Ottostr. 5-20)","Röntgenhof",1928
278,"Glaubten","Waidmatt",1949
279,"Oerlikon 1 (Affoltern-, Regensbergstr.)","Allgemeine Baugenossenschaft Zürich (ABZ)",1981
280,"Schulhausstrasse 59","St. Jakob",1984
281,"Ueberlandstr.","Liegenschaftenverwaltung",1968
282,"Albisriederdörfli","Zurlinden",1998
316,"Espenhof","Stiftung Alterswohnungen der Stadt Zürich (SAW)",1952
317,"Mutschellenstrasse (MBGZ)","Mieter-Baugenossenschaft Zürich (MBGZ)",1930
318,"Neugasse","Allgemeine Baugenossenschaft Zürich (ABZ)",1929
319,"Kehlhof","Liegenschaftenverwaltung",1972
320,"Ilanzhof I-IV (Milchbuckstr. 14-18, Stüssistr. 73-79, Ilanzhofweg 5-7)","Freiblick",1928
321,"9. Et. (Badenerstr. 634-636)","Halde Zürich",1953
322,"Erikastrasse","Allgemeine Baugenossenschaft Zürich (ABZ)",1925
323,"Unterfeld","Zentralstrasse",1975
324,"Friesenbergstr.","Suwita",1929
336,"Buchwiesen","Glattal",1946
337,"10. Et. (Schweighofstrasse)","Familienheim-Genossenschaft (FGZ)",2005
338,"Am Schaffhauserplatz","Stiftung Alterswohnungen der Stadt Zürich (SAW)",1977
339,"Entlisberg 4","Strassenbahner Zürich",2007
340,"Goldacker 3 (Bergwiesen 4-6, 15-29, rossackerstr. 16, 32, 31-33, 36-68","Sonnengarten",1948
341,"8. Et. (Roswiesenstr., Alterssiedlung)","Vitasana",1978
342,"Kronwiesen IV","Glattal",1955
343,"2. Et. (Feldblumen-, Spyrgartenstr.)","Alpenblick",1950
325,"Kolonie 8 (Holunderhof 1-8, Regensbergstr. 191-195)","Röntgenhof",1931
326,"Altstetten (Eugen-Huber-Str. 97-101, Girhaldenstr. 56-78)","Zurlinden",1949
327,"Ankerstrasse 16 (Dreieck)","Das Dreieck",1997
328,"Luchswiesen I","Glattal",1959
329,"4. Et. (Staffelhof)","Familienheim-Genossenschaft (FGZ)",1929
330,"Wohnkolonie 1920","BEROWISA",1920
331,"Ankerstrasse 06 (Dreieck)","Das Dreieck",1998
332,"Seebach (Mattackerstr. 26-32)","ASIG",1979
333,"Mühlebachstr.","Allgemeine Baugenossenschaft Zürich (ABZ)",1928
334,"10. Et. (Im Stückler 21-23, 28, 29, 30, 31, Dachslernstr. 78)","Halde Zürich",1954
335,"Kleeweidhof","Kleeweid",2009
283,"In Böden","Waidmatt",1956
284,"2. Et. (Binderweg, Binzmühle-, Kügeliloostr., Zelghalde)","GISA",1948
285,"Letten 6","Eidgenössisches Personal (BEP)",1933
286,"Zweierstrasse 42 (Dreieck)","Das Dreieck",1997
287,"21. Et. (Schweighofstr. 193)","Familienheim-Genossenschaft (FGZ)",1971
288,"Tannenrauchstr. 79-90","Zürich 2, Gemeinnützige",1932
289,"1. Et. (Binderweg, Binzmühle-, Kügeliloostr., Zelghalde)","GISA",1948
290,"Schaffhauserstrasse","Zentralstrasse",0
291,"Altwiesen","Glattal",1948
292,"Hochstr. 108","Studentisches Wohnen",1998
293,"Punkthaus","Waidmatt",1960
294,"Leimbach  (Hofgarten)","Hofgarten",2007
295,"19. Et. (Arbentalstr.)","Familienheim-Genossenschaft (FGZ)",1959
296,"Lerchenhalde (Lerchenhalde 20)","Turicum",1973
297,"Rieterstrasse 95, Mutschellenstrasse 18","Zürich 2",1930
298,"Kalchbühl","Waidberg",1948
299,"Neunbrunnen","Zentralstrasse",2003
300,"Mutschellenstrasse 151-155 (Zürich 2)","Zürich 2",1926
301,"15. Et. (Schächenstr. 7)","Halde Zürich",1987
302,"3. Etappe (Oberstrass)","Oberstrass",1926
303,"6. Etappe (Oberstrass)","Oberstrass",1928
304,"Toblerstr.","Allgemeine Baugenossenschaft Zürich (ABZ)",1929
305,"4. Etappe (Oberstrass)","Oberstrass",1927
306,"Parkring","Jugendwohnhilfe",1994
307,"Birchstrasse 111","Allgemeine Baugenossenschaft Zürich (ABZ)",1973
308,"Hohensteinweg (Hohensteinweg 16-24)","Turicum",1965
309,"Elsastrasse 17","Studentisches Wohnen",2002
310,"Seefeld","Stiftung Alterswohnungen der Stadt Zürich (SAW)",0
311,"4. Et. (Hausäcker 3)","Graphika",1976
312,"Buchegg, Rötel (Bucheggstr. 46-50, Rötelstr. 125-127)","Zurlinden",1990
313,"Guggach 8","Strassenbahner Zürich",2011
314,"Suteracher I (Dachslernstr.)","Frohheim",1965
315,"Rotachquartier","Rotach",1924
365,"Lommisweg","Allgemeine Baugenossenschaft Zürich (ABZ)",1985
366,"Leimbach (KR)","Kinderreiche Familien, Stiftung (KR)",1965
367,"2. Et. (Tuschgenweg 2-6, 30-34, 7-11, 15-23, 29-37, Stotzweg 5-7, 17-3","Kleeweid",1949
368,"Sihlweidstrasse 20, 22, 24","Stiftung PWG",2000
369,"Konradstrasse 49, 51, 55","Stiftung PWG",2001
370,"4. Et. (Kirchenackerweg, Tramstr.)","GISA",1985
371,"Grimselstrasse","Rotach",1951
372,"Alterssiedlung Stettbachstr. 158-160","Probstei",1977
373,"Gartenhofstrasse 27 (Dreieck)","Das Dreieck",2002
374,"Hertenstein","Glattal",1979
375,"Im Moos I (Balber-, Marchwart-, Moostr., Hauriweg)","Allgemeine Baugenossenschaft Zürich (ABZ)",1953
376,"Witikon 2 (Trichtenhausenstrasse 124-128)","ASIG",2004
377,"Wiedikon","Allgemeine Baugenossenschaft Zürich (ABZ)",1974
378,"5. Et. (Luegisland-, Winterthurerstr.)","Vitasana",1952
379,"LieniHof","Zurlinden",2007
380,"Studentenwohnheim Freudenbergstrasse","Justinus-Verein",1961
381,"Wohnsiedlung Bockler","WOGENO",2007
382,"20. Et. (Friesenberghalde)","Familienheim-Genossenschaft (FGZ)",1969
383,"26. Etappe Stoss-Areal","Limmattal (GBL)",2008
384,"Bachwiesen, Albisrieden (Wydlerweg 11-17, 21-17)","Zurlinden",1985
385,"Grüngasse 10","WOGENO",0
386,"Balberstrasse 47","Allgemeine Baugenossenschaft Zürich (ABZ)",1991
387,"Herbstweg","Liegenschaftenverwaltung",1947
388,"Sihlhallenstr.","Jugendwohnhilfe",2003
389,"Suteracher VI (Am Suteracher, Dachslernstr.)","Frohheim",1975
390,"Entlisberg III","Allgemeine Baugenossenschaft Zürich (ABZ)",1931
391,"Seebach (Linth-Escher 07)","Linth-Escher",1955
392,"Seebach (SAW)","Stiftung Alterswohnungen der Stadt Zürich (SAW)",0
393,"Gladbachstrasse","Stiftung Alterswohnungen der Stadt Zürich (SAW)",1972
394,"Guggach 6 (Grebelackerstr. 4)","Strassenbahner Zürich",2003
395,"Kernstrasse 32","Stiftung PWG",2004
396,"Au (Stadt Zürich)","Liegenschaftenverwaltung",1941
409,"Frieden","Stiftung Alterswohnungen der Stadt Zürich (SAW)",0
410,"Herbstweg Süd","Zentralstrasse",2007
411,"Zwirnerstr. 300-310","Linth-Escher",1998
412,"Hausäcker / Farbhof (Ersatzneubau)","Graphika",2007
413,"Neugasse 57 / 59","Stiftung PWG",1995
414,"Letten II (Wasserwerkstr. 116, 120)","Berufstätige Frauen",1952
415,"Dübendorfer-/Probsteistr.","Sunnige Hof",1945
416,"Limmat (Am Wasser)","Zurlinden",2002
417,"Birch-, Hertensteinstr.","Glattal",1950
418,"6. Et. (Luggwegstr. 36-40, Badenerstr. 638-640)","Halde Zürich",1951
419,"4. Et. (Hirzenbach)","Milchbuck",1958
420,"Herbstweg Nord","Zentralstrasse",0
421,"Hard/Bullinger","Rotach",1930
397,"Rütihof 3","Sonnengarten",1997
398,"8. Et. (Glättlistr. 1-3, Schlierenberg 31-33, 34, 35, 36, Eugen-Huber-","Halde Zürich",1952
399,"Wehntaler III (Ersatzneubau)","Baufreunde",2004
400,"Et. I (Tulpenweg 6, 10-16)","Süd-Ost",1944
401,"Seebach (Sperletweg 1-51)","ASIG",1948
402,"Kolonie 9 (Weisshau 2-4)","Röntgenhof",1979
403,"Brahmshof","Evangelischer Frauenbund Zürich (EFZ)",1991
404,"Waid (Waidfussweg 57-59, Wunderlistr. 63-65)","Turicum",1965
405,"Hardau I","Liegenschaftenverwaltung",1964
406,"Altstetten (Altstetterstr. 188)","Sonnengarten",1968
407,"Holzmatt I (Binzmühlestr.)","Baufreunde",1949
408,"Dufourstrasse","Stiftung Alterswohnungen der Stadt Zürich (SAW)",0
344,"Sonnenhalde I+II (Marbachweg, Hüslibachstrasse 60-102; Ankenwei 1-61;","Freiblick",1931
345,"Gartenhofstrasse 31 (Dreieck)","Das Dreieck",1999
346,"Felsenrain","Stiftung Alterswohnungen der Stadt Zürich (SAW)",1958
347,"Kolonie 16 (Tüffenwies 31-33)","Röntgenhof",1976
348,"Hohlstrasse 7","Stiftung PWG",1999
349,"Burgwies 3 (Hammerstr. 70-72)","Strassenbahner Zürich",1965
350,"3. Bauetappe","Zürich 7",1932
