Jahr_F,Jahr,Geschlecht_F,Geschlecht,Alter_F,Alter,Auspraegung_F,Einschätzung,Anteil (in %),95 % Konfidenzintervall (in %)
2019,20190,Männlich,2,18 bis 29 Jahre,1,"Ja, einmal",2,9.9,7.1 bis 12.8
2019,20190,Männlich,2,18 bis 29 Jahre,1,"Ja, mehrfach",1,12.7,9.5 bis 15.9
2019,20190,Männlich,2,30 bis 39 Jahre,2,Nein,3,85.1,82.2 bis 88.0
2019,20190,Männlich,2,30 bis 39 Jahre,2,"Ja, einmal",2,5.3,3.5 bis 7.1
2019,20190,Männlich,2,30 bis 39 Jahre,2,"Ja, mehrfach",1,9.7,7.2 bis 12.1
2019,20190,Männlich,2,40 bis 49 Jahre,3,Nein,3,85.8,82.8 bis 88.8
2019,20190,Männlich,2,40 bis 49 Jahre,3,"Ja, einmal",2,4.7,2.8 bis 6.5
2019,20190,Männlich,2,40 bis 49 Jahre,3,"Ja, mehrfach",1,9.5,7.0 bis 12.1
2019,20190,Männlich,2,50 bis 59 Jahre,4,Nein,3,86.2,82.8 bis 89.6
2019,20190,Männlich,2,50 bis 59 Jahre,4,"Ja, einmal",2,5.1,2.9 bis 7.2
2019,20190,Männlich,2,50 bis 59 Jahre,4,"Ja, mehrfach",1,8.8,6.0 bis 11.6
2019,20190,Männlich,2,60 bis 69 Jahre,5,Nein,3,89.6,85.7 bis 93.5
2019,20190,Männlich,2,60 bis 69 Jahre,5,"Ja, einmal",2,4.3,1.6 bis 7.0
2019,20190,Männlich,2,60 bis 69 Jahre,5,"Ja, mehrfach",1,6.1,3.2 bis 9.0
2019,20190,Männlich,2,70 Jahre oder mehr,6,Nein,3,90.3,86.9 bis 93.6
2019,20190,Männlich,2,70 Jahre oder mehr,6,"Ja, einmal",2,3.5,1.3 bis 5.6
2019,20190,Männlich,2,70 Jahre oder mehr,6,"Ja, mehrfach",1,6.3,3.6 bis 9.0
2021,20210,Weiblich,1,18 bis 29 Jahre,1,Nein,3,65.8,61.4 bis 70.1
2021,20210,Weiblich,1,18 bis 29 Jahre,1,"Ja, einmal",2,16.3,13.0 bis 19.7
2021,20210,Weiblich,1,18 bis 29 Jahre,1,"Ja, mehrfach",1,17.9,14.4 bis 21.4
2021,20210,Weiblich,1,30 bis 39 Jahre,2,Nein,3,76.7,73.2 bis 80.1
2021,20210,Weiblich,1,30 bis 39 Jahre,2,"Ja, einmal",2,8.9,6.6 bis 11.1
2021,20210,Weiblich,1,30 bis 39 Jahre,2,"Ja, mehrfach",1,14.5,11.6 bis 17.3
2021,20210,Weiblich,1,40 bis 49 Jahre,3,Nein,3,87,83.8 bis 90.3
2021,20210,Weiblich,1,40 bis 49 Jahre,3,"Ja, einmal",2,3.9,2.0 bis 5.8
2021,20210,Weiblich,1,40 bis 49 Jahre,3,"Ja, mehrfach",1,9,6.3 bis 11.7
2021,20210,Weiblich,1,50 bis 59 Jahre,4,Nein,3,85.1,81.3 bis 88.8
2021,20210,Weiblich,1,50 bis 59 Jahre,4,"Ja, einmal",2,6.4,3.9 bis 8.9
2021,20210,Weiblich,1,50 bis 59 Jahre,4,"Ja, mehrfach",1,8.5,5.6 bis 11.5
2021,20210,Weiblich,1,60 bis 69 Jahre,5,Nein,3,91.8,88.5 bis 95.0
2021,20210,Weiblich,1,60 bis 69 Jahre,5,"Ja, einmal",2,4.3,1.9 bis 6.8
2021,20210,Weiblich,1,60 bis 69 Jahre,5,"Ja, mehrfach",1,3.9,1.6 bis 6.2
2021,20210,Weiblich,1,70 Jahre oder mehr,6,Nein,3,93.9,91.5 bis 96.3
2021,20210,Weiblich,1,70 Jahre oder mehr,6,"Ja, einmal",2,1.8,0.5 bis 3.0
2021,20210,Weiblich,1,70 Jahre oder mehr,6,"Ja, mehrfach",1,4.3,2.3 bis 6.4
2021,20210,Männlich,2,18 bis 29 Jahre,1,Nein,3,79.9,76.2 bis 83.7
2021,20210,Männlich,2,18 bis 29 Jahre,1,"Ja, einmal",2,7.4,5.1 bis 9.8
2021,20210,Männlich,2,18 bis 29 Jahre,1,"Ja, mehrfach",1,12.6,9.5 bis 15.8
2021,20210,Männlich,2,30 bis 39 Jahre,2,Nein,3,86.5,83.7 bis 89.2
2021,20210,Männlich,2,30 bis 39 Jahre,2,"Ja, einmal",2,3.9,2.4 bis 5.4
2021,20210,Männlich,2,30 bis 39 Jahre,2,"Ja, mehrfach",1,9.7,7.3 bis 12.0
2021,20210,Männlich,2,40 bis 49 Jahre,3,Nein,3,88.6,85.7 bis 91.5
2021,20210,Männlich,2,40 bis 49 Jahre,3,"Ja, einmal",2,5.6,3.5 bis 7.7
2021,20210,Männlich,2,40 bis 49 Jahre,3,"Ja, mehrfach",1,5.8,3.7 bis 7.9
2021,20210,Männlich,2,50 bis 59 Jahre,4,Nein,3,83.7,80.2 bis 87.2
2021,20210,Männlich,2,50 bis 59 Jahre,4,"Ja, einmal",2,7.4,5.0 bis 9.8
2021,20210,Männlich,2,50 bis 59 Jahre,4,"Ja, mehrfach",1,8.9,6.1 bis 11.6
2021,20210,Männlich,2,60 bis 69 Jahre,5,Nein,3,88.3,84.5 bis 92.1
2021,20210,Männlich,2,60 bis 69 Jahre,5,"Ja, einmal",2,3.8,1.9 bis 5.7
2021,20210,Männlich,2,60 bis 69 Jahre,5,"Ja, mehrfach",1,7.9,4.6 bis 11.2
2021,20210,Männlich,2,70 Jahre oder mehr,6,Nein,3,92.9,90.0 bis 95.8
2021,20210,Männlich,2,70 Jahre oder mehr,6,"Ja, einmal",2,3.4,1.5 bis 5.2
2021,20210,Männlich,2,70 Jahre oder mehr,6,"Ja, mehrfach",1,3.7,1.6 bis 5.9
2023,20230,Weiblich,1,18 bis 29 Jahre,1,Nein,3,59.1,54.5 bis 63.7
2023,20230,Weiblich,1,18 bis 29 Jahre,1,"Ja, einmal",2,21.2,17.2 bis 25.2
2023,20230,Weiblich,1,18 bis 29 Jahre,1,"Ja, mehrfach",1,19.7,16.0 bis 23.4
2023,20230,Weiblich,1,30 bis 39 Jahre,2,Nein,3,74.8,71.2 bis 78.5
2023,20230,Weiblich,1,30 bis 39 Jahre,2,"Ja, einmal",2,11.7,9.0 bis 14.5
2023,20230,Weiblich,1,30 bis 39 Jahre,2,"Ja, mehrfach",1,13.4,10.6 bis 16.3
2023,20230,Weiblich,1,40 bis 49 Jahre,3,Nein,3,85.1,81.9 bis 88.4
2023,20230,Weiblich,1,40 bis 49 Jahre,3,"Ja, einmal",2,4.2,2.4 bis 5.9
2023,20230,Weiblich,1,40 bis 49 Jahre,3,"Ja, mehrfach",1,10.7,7.8 bis 13.6
2023,20230,Weiblich,1,50 bis 59 Jahre,4,Nein,3,81.6,77.3 bis 85.8
2023,20230,Weiblich,1,50 bis 59 Jahre,4,"Ja, einmal",2,7.8,4.9 bis 10.7
2023,20230,Weiblich,1,50 bis 59 Jahre,4,"Ja, mehrfach",1,10.6,7.2 bis 14.0
2023,20230,Weiblich,1,60 bis 69 Jahre,5,Nein,3,87.7,83.9 bis 91.5
2023,20230,Weiblich,1,60 bis 69 Jahre,5,"Ja, einmal",2,6.1,3.3 bis 9.0
2023,20230,Weiblich,1,60 bis 69 Jahre,5,"Ja, mehrfach",1,6.1,3.4 bis 8.9
2023,20230,Weiblich,1,70 Jahre oder mehr,6,Nein,3,94,91.7 bis 96.4
2023,20230,Weiblich,1,70 Jahre oder mehr,6,"Ja, einmal",2,2.3,0.9 bis 3.8
2023,20230,Weiblich,1,70 Jahre oder mehr,6,"Ja, mehrfach",1,3.6,1.8 bis 5.5
2023,20230,Männlich,2,18 bis 29 Jahre,1,Nein,3,81.1,77.4 bis 84.9
2023,20230,Männlich,2,18 bis 29 Jahre,1,"Ja, einmal",2,6.1,3.9 bis 8.3
2023,20230,Männlich,2,18 bis 29 Jahre,1,"Ja, mehrfach",1,12.8,9.6 bis 15.9
2023,20230,Männlich,2,30 bis 39 Jahre,2,Nein,3,83.7,80.6 bis 86.8
2023,20230,Männlich,2,30 bis 39 Jahre,2,"Ja, einmal",2,6.3,4.2 bis 8.4
2023,20230,Männlich,2,30 bis 39 Jahre,2,"Ja, mehrfach",1,10,7.5 bis 12.5
2023,20230,Männlich,2,40 bis 49 Jahre,3,Nein,3,89,86.2 bis 91.8
2023,20230,Männlich,2,40 bis 49 Jahre,3,"Ja, einmal",2,4.2,2.4 bis 6.0
2023,20230,Männlich,2,40 bis 49 Jahre,3,"Ja, mehrfach",1,6.8,4.5 bis 9.1
2023,20230,Männlich,2,50 bis 59 Jahre,4,Nein,3,85.9,82.4 bis 89.5
2023,20230,Männlich,2,50 bis 59 Jahre,4,"Ja, einmal",2,3.9,2.0 bis 5.9
2023,20230,Männlich,2,50 bis 59 Jahre,4,"Ja, mehrfach",1,10.1,7.0 bis 13.2
2023,20230,Männlich,2,60 bis 69 Jahre,5,Nein,3,90.3,86.6 bis 94.0
2023,20230,Männlich,2,60 bis 69 Jahre,5,"Ja, einmal",2,2.8,0.7 bis 4.9
2023,20230,Männlich,2,60 bis 69 Jahre,5,"Ja, mehrfach",1,6.9,3.8 bis 10.1
2023,20230,Männlich,2,70 Jahre oder mehr,6,Nein,3,95.1,92.7 bis 97.6
2023,20230,Männlich,2,70 Jahre oder mehr,6,"Ja, einmal",2,1.9,0.3 bis 3.5
2023,20230,Männlich,2,70 Jahre oder mehr,6,"Ja, mehrfach",1,3,1.1 bis 4.8
