Zuzugsregion,Stadtquartier,Anzahl
Ostafrika,Wipkingen,8
Ostafrika,Witikon,2
Ostafrika,Wollishofen,2
Ostasien,Affoltern,108
Ostasien,Albisrieden,15
Ostasien,Alt-Wiedikon,37
Ostasien,Altstetten,80
Ostasien,City,4
Ostasien,Enge,20
Ostasien,Escher Wyss,2
Ostasien,Fluntern,31
Ostasien,Friesenberg,6
Ostasien,Gewerbeschule,5
Ostasien,Hard,18
Ostasien,Hirslanden,14
Ostasien,Hirzenbach,14
Ostasien,Hottingen,15
Ostasien,Höngg,22
Ostasien,Langstrasse,9
Ostasien,Leimbach,1
Ostasien,Lindenhof,1
Ostasien,Mühlebach,14
Ostasien,Oberstrass,28
Ostasien,Oerlikon,54
Ostasien,Rathaus,5
Ostasien,Saatlen,10
Ostasien,Schwamendingen-Mitte,7
Ostasien,Seebach,52
Ostasien,Seefeld,9
Ostasien,Sihlfeld,14
Ostasien,Unterstrass,34
Ostasien,Weinegg,6
Ostasien,Werd,9
Ostasien,Wipkingen,15
Ostasien,Witikon,17
Ostasien,Wollishofen,17
Osteuropa,Affoltern,16
Osteuropa,Albisrieden,7
Osteuropa,Alt-Wiedikon,19
Osteuropa,Altstetten,15
Osteuropa,City,4
Osteuropa,Enge,13
Osteuropa,Escher Wyss,5
Osteuropa,Fluntern,15
Osteuropa,Friesenberg,6
Osteuropa,Gewerbeschule,7
Osteuropa,Hard,6
Osteuropa,Hirslanden,6
Osteuropa,Hirzenbach,3
Osteuropa,Hochschulen,3
Osteuropa,Hottingen,5
Osteuropa,Höngg,9
Osteuropa,Langstrasse,87
Osteuropa,Lindenhof,3
Osteuropa,Mühlebach,27
Osteuropa,Oberstrass,15
Osteuropa,Oerlikon,16
Osteuropa,Rathaus,61
Osteuropa,Saatlen,6
Osteuropa,Schwamendingen-Mitte,6
Osteuropa,Seebach,34
Osteuropa,Seefeld,8
Osteuropa,Sihlfeld,14
Osteuropa,Unterstrass,13
Osteuropa,Weinegg,9
Osteuropa,Werd,17
Osteuropa,Wipkingen,15
Osteuropa,Witikon,13
Osteuropa,Wollishofen,8
Südafrika,Affoltern,3
Südafrika,Albisrieden,3
Südafrika,Altstetten,5
Südafrika,Enge,4
Südafrika,Escher Wyss,1
Südafrika,Friesenberg,0
Südafrika,Gewerbeschule,4
Südafrika,Hard,1
Südafrika,Hirslanden,1
Südafrika,Hirzenbach,1
Südafrika,Hochschulen,2
Südafrika,Hottingen,2
Südafrika,Höngg,3
Südafrika,Langstrasse,4
Südafrika,Lindenhof,2
Südafrika,Oberstrass,5
Südafrika,Oerlikon,9
Südafrika,Schwamendingen-Mitte,1
Südafrika,Seebach,6
Südafrika,Seefeld,5
Südafrika,Sihlfeld,4
Südafrika,Unterstrass,0
Südafrika,Weinegg,2
Südafrika,Werd,1
Südafrika,Wipkingen,1
Südafrika,Wollishofen,4
Südasien,Affoltern,42
Südasien,Albisrieden,34
Südasien,Alt-Wiedikon,75
Südasien,Altstetten,133
Südasien,Enge,16
Südasien,Escher Wyss,5
Südasien,Fluntern,6
Südasien,Friesenberg,8
Südasien,Gewerbeschule,15
Südasien,Hard,42
Südasien,Hirslanden,13
Südasien,Hirzenbach,22
Südasien,Hochschulen,2
Südasien,Hottingen,7
Südasien,Höngg,25
Südasien,Langstrasse,13
Südasien,Leimbach,8
Südasien,Mühlebach,15
Südasien,Oberstrass,30
Südasien,Oerlikon,131
Südasien,Rathaus,4
Südasien,Saatlen,12
Südasien,Schwamendingen-Mitte,72
Südasien,Seebach,302
Südasien,Seefeld,10
Südasien,Sihlfeld,40
Südasien,Unterstrass,42
Südasien,Weinegg,4
Südasien,Werd,17
Südasien,Wipkingen,7
Südasien,Witikon,4
Südasien,Wollishofen,16
Südeuropa,Affoltern,136
Südeuropa,Albisrieden,72
Südeuropa,Alt-Wiedikon,110
Südeuropa,Altstetten,144
Südeuropa,City,7
Südeuropa,Enge,45
Südeuropa,Escher Wyss,14
Südeuropa,Fluntern,55
Südeuropa,Friesenberg,18
Südeuropa,Gewerbeschule,48
Südeuropa,Hard,76
Südeuropa,Hirslanden,26
Südeuropa,Hirzenbach,47
Südeuropa,Hochschulen,7
Südeuropa,Hottingen,53
Südeuropa,Höngg,63
Südeuropa,Langstrasse,91
Südeuropa,Leimbach,15
Südeuropa,Lindenhof,6
Südeuropa,Mühlebach,28
Südeuropa,Oberstrass,64
Südeuropa,Oerlikon,146
Südeuropa,Rathaus,27
Südeuropa,Saatlen,33
Südeuropa,Schwamendingen-Mitte,49
Südeuropa,Seebach,130
Südeuropa,Seefeld,32
Südeuropa,Sihlfeld,73
Südeuropa,Unterstrass,104
Südeuropa,Weinegg,19
Südeuropa,Werd,34
Südeuropa,Wipkingen,53
Südeuropa,Witikon,27
Südeuropa,Wollishofen,44
Südliches Ozeanien,Affoltern,12
Südliches Ozeanien,Albisrieden,4
Südliches Ozeanien,Alt-Wiedikon,15
Südliches Ozeanien,Altstetten,11
Südliches Ozeanien,City,1
Südliches Ozeanien,Enge,10
Südliches Ozeanien,Escher Wyss,0
Südliches Ozeanien,Fluntern,5
Südliches Ozeanien,Friesenberg,1
Südliches Ozeanien,Gewerbeschule,1
Südliches Ozeanien,Hard,3
Südliches Ozeanien,Hirslanden,7
Südliches Ozeanien,Hirzenbach,2
Südliches Ozeanien,Hottingen,8
Südliches Ozeanien,Höngg,6
Südliches Ozeanien,Langstrasse,12
Südliches Ozeanien,Leimbach,2
Südliches Ozeanien,Lindenhof,0
Südliches Ozeanien,Mühlebach,2
Südliches Ozeanien,Oberstrass,24
Südliches Ozeanien,Oerlikon,20
Südliches Ozeanien,Rathaus,3
Südliches Ozeanien,Seebach,8
Südliches Ozeanien,Seefeld,2
Südliches Ozeanien,Sihlfeld,12
Südliches Ozeanien,Unterstrass,5
Südliches Ozeanien,Weinegg,1
Südliches Ozeanien,Werd,3
Südliches Ozeanien,Wipkingen,5
Südliches Ozeanien,Witikon,5
Südliches Ozeanien,Wollishofen,10
Südliches Südamerika,Affoltern,7
Südliches Südamerika,Albisrieden,3
Südliches Südamerika,Alt-Wiedikon,5
Südliches Südamerika,Altstetten,1
Südliches Südamerika,Enge,1
Südliches Südamerika,Fluntern,1
Südliches Südamerika,Friesenberg,5
Südliches Südamerika,Gewerbeschule,1
Südliches Südamerika,Hard,9
Südliches Südamerika,Hirslanden,1
Südliches Südamerika,Hirzenbach,3
Südliches Südamerika,Hottingen,1
Südliches Südamerika,Höngg,4
Südliches Südamerika,Langstrasse,6
Südliches Südamerika,Mühlebach,4
Südliches Südamerika,Oberstrass,1
Südliches Südamerika,Oerlikon,11
Südliches Südamerika,Schwamendingen-Mitte,3
Südliches Südamerika,Seebach,4
Südliches Südamerika,Sihlfeld,2
Südliches Südamerika,Unterstrass,3
Südliches Südamerika,Weinegg,8
Südliches Südamerika,Wipkingen,3
Südliches Südamerika,Witikon,6
Südliches Südamerika,Wollishofen,5
Südostafrika,Altstetten,1
Südostasien,Affoltern,22
Südostasien,Albisrieden,23
Südostasien,Alt-Wiedikon,33
Südostasien,Altstetten,26
Südostasien,City,3
Südostasien,Enge,21
Südostasien,Escher Wyss,2
Südostasien,Fluntern,14
Südostasien,Friesenberg,4
Südostasien,Gewerbeschule,20
Südostasien,Hard,16
Südostasien,Hirslanden,4
Südostasien,Hirzenbach,2
Südostasien,Hottingen,20
Südostasien,Höngg,22
Südostasien,Langstrasse,46
Südostasien,Leimbach,7
Südostasien,Lindenhof,1
Südostasien,Mühlebach,11
Südostasien,Oberstrass,20
Südostasien,Oerlikon,27
Südostasien,Rathaus,8
Südostasien,Saatlen,2
Südostasien,Schwamendingen-Mitte,5
Südostasien,Seebach,45
Südostasien,Seefeld,10
Südostasien,Sihlfeld,21
Südostasien,Unterstrass,37
Südostasien,Weinegg,7
Südostasien,Werd,12
Südostasien,Wipkingen,14
Südostasien,Witikon,5
Südostasien,Wollishofen,11
Südosteuropa,Affoltern,41
Südosteuropa,Albisrieden,32
Südosteuropa,Alt-Wiedikon,31
Südosteuropa,Altstetten,69
Südosteuropa,City,4
Südosteuropa,Enge,18
Südosteuropa,Escher Wyss,2
Südosteuropa,Fluntern,8
Südosteuropa,Friesenberg,16
Südosteuropa,Gewerbeschule,17
Südosteuropa,Hard,44
Südosteuropa,Hirslanden,6
Südosteuropa,Hirzenbach,41
Südosteuropa,Hochschulen,5
Südosteuropa,Hottingen,8
Südosteuropa,Höngg,19
Südosteuropa,Langstrasse,45
Südosteuropa,Leimbach,13
Südosteuropa,Lindenhof,4
Südosteuropa,Mühlebach,13
Südosteuropa,Oberstrass,16
Südosteuropa,Oerlikon,44
Südosteuropa,Rathaus,36
Südosteuropa,Saatlen,19
Südosteuropa,Schwamendingen-Mitte,36
Südosteuropa,Seebach,73
Südosteuropa,Seefeld,10
Südosteuropa,Sihlfeld,34
Südosteuropa,Unterstrass,30
Südosteuropa,Weinegg,11
Südosteuropa,Werd,12
Südosteuropa,Wipkingen,16
Südosteuropa,Witikon,8
Südosteuropa,Wollishofen,30
Südwestafrika,Alt-Wiedikon,1
Südwestafrika,Escher Wyss,1
Südwestafrika,Gewerbeschule,0
Südwestafrika,Oerlikon,1
Südwestafrika,Seebach,2
Südwestasien,Affoltern,1
Südwestasien,Alt-Wiedikon,1
Südwestasien,Fluntern,2
Südwestasien,Friesenberg,1
Südwestasien,Hard,2
Südwestasien,Hirslanden,1
Südwestasien,Hottingen,3
Südwestasien,Mühlebach,1
Südwestasien,Oberstrass,1
Südwestasien,Oerlikon,1
Südwestasien,Sihlfeld,4
Südwestasien,Werd,1
Südwesteuropa,Affoltern,96
Südwesteuropa,Albisrieden,38
Südwesteuropa,Alt-Wiedikon,64
Südwesteuropa,Altstetten,150
Südwesteuropa,City,6
Südwesteuropa,Enge,46
Südwesteuropa,Escher Wyss,5
Südwesteuropa,Fluntern,19
Südwesteuropa,Friesenberg,20
Südwesteuropa,Gewerbeschule,52
Südwesteuropa,Hard,63
Südwesteuropa,Hirslanden,17
Südwesteuropa,Hirzenbach,41
Südwesteuropa,Hochschulen,5
Südwesteuropa,Hottingen,35
Südwesteuropa,Höngg,35
Südwesteuropa,Langstrasse,96
Südwesteuropa,Leimbach,8
Südwesteuropa,Lindenhof,3
Südwesteuropa,Mühlebach,17
Südwesteuropa,Oberstrass,17
Südwesteuropa,Oerlikon,97
Südwesteuropa,Rathaus,14
Südwesteuropa,Saatlen,14
Südwesteuropa,Schwamendingen-Mitte,47
Südwesteuropa,Seebach,110
Südwesteuropa,Seefeld,19
Südwesteuropa,Sihlfeld,91
Südwesteuropa,Unterstrass,67
Südwesteuropa,Weinegg,7
Südwesteuropa,Werd,23
Südwesteuropa,Wipkingen,73
Südwesteuropa,Witikon,15
Südwesteuropa,Wollishofen,40
Unzuteilbar,Affoltern,27
Unzuteilbar,Albisrieden,26
Unzuteilbar,Alt-Wiedikon,22
Unzuteilbar,Altstetten,41
Unzuteilbar,City,1
Unzuteilbar,Enge,9
Unzuteilbar,Escher Wyss,2
Unzuteilbar,Fluntern,8
Unzuteilbar,Friesenberg,9
Unzuteilbar,Gewerbeschule,8
Unzuteilbar,Hard,12
Unzuteilbar,Hirslanden,12
Unzuteilbar,Hirzenbach,14
Unzuteilbar,Hottingen,9
Unzuteilbar,Höngg,18
Unzuteilbar,Langstrasse,12
Unzuteilbar,Leimbach,10
Unzuteilbar,Lindenhof,3
Unzuteilbar,Mühlebach,7
Unzuteilbar,Oberstrass,8
Unzuteilbar,Oerlikon,30
Unzuteilbar,Rathaus,4
Unzuteilbar,Saatlen,10
Unzuteilbar,Schwamendingen-Mitte,7
Unzuteilbar,Seebach,23
Unzuteilbar,Seefeld,3
Unzuteilbar,Sihlfeld,25
Unzuteilbar,Unterstrass,25
Unzuteilbar,Weinegg,7
Unzuteilbar,Werd,4
Unzuteilbar,Wipkingen,22
Unzuteilbar,Witikon,10
Unzuteilbar,Wollishofen,22
Westafrika,Affoltern,1
Westafrika,Albisrieden,1
Westafrika,Alt-Wiedikon,5
Westafrika,Altstetten,5
Westafrika,Enge,1
Westafrika,Escher Wyss,1
Westafrika,Friesenberg,2
Westafrika,Gewerbeschule,1
Westafrika,Hard,0
Westafrika,Hirzenbach,1
Westafrika,Hottingen,2
Westafrika,Höngg,1
Westafrika,Langstrasse,4
Westafrika,Oberstrass,3
Westafrika,Oerlikon,4
Westafrika,Rathaus,1
Westafrika,Schwamendingen-Mitte,1
Westafrika,Seebach,4
Westafrika,Seefeld,1
Westafrika,Sihlfeld,6
Westafrika,Unterstrass,2
Westafrika,Weinegg,1
Westafrika,Werd,1
Westafrika,Wipkingen,1
Westafrika,Witikon,1
Westasien,Affoltern,29
Westasien,Albisrieden,18
Westasien,Alt-Wiedikon,44
Westasien,Altstetten,30
Westasien,City,3
Westasien,Enge,26
Westasien,Escher Wyss,1
Westasien,Fluntern,15
Westasien,Friesenberg,2
Westasien,Gewerbeschule,2
Westasien,Hard,8
Westasien,Hirslanden,12
Westasien,Hirzenbach,17
Westasien,Hottingen,15
Westasien,Höngg,7
Westasien,Langstrasse,14
Westasien,Leimbach,3
Westasien,Lindenhof,2
Westasien,Mühlebach,24
Westasien,Oberstrass,8
Westasien,Oerlikon,81
Westasien,Rathaus,6
Westasien,Saatlen,2
Westasien,Schwamendingen-Mitte,6
Westasien,Seebach,28
Westasien,Seefeld,14
Westasien,Sihlfeld,28
Westasien,Unterstrass,25
Westasien,Weinegg,5
Westasien,Werd,17
Westasien,Wipkingen,5
Westasien,Witikon,8
Westasien,Wollishofen,10
Westeuropa,Affoltern,119
Westeuropa,Albisrieden,42
Westeuropa,Alt-Wiedikon,237
Westeuropa,Altstetten,107
Westeuropa,City,33
Westeuropa,Enge,109
Westeuropa,Escher Wyss,42
Westeuropa,Fluntern,75
Westeuropa,Friesenberg,20
Westeuropa,Gewerbeschule,72
Westeuropa,Hard,67
Westeuropa,Hirslanden,45
Westeuropa,Hirzenbach,31
Westeuropa,Hochschulen,13
Westeuropa,Hottingen,99
Westeuropa,Höngg,78
Westeuropa,Langstrasse,103
Westeuropa,Leimbach,17
Westeuropa,Lindenhof,9
Westeuropa,Mühlebach,81
Westeuropa,Oberstrass,73
Westeuropa,Oerlikon,154
Westeuropa,Rathaus,36
Westeuropa,Saatlen,15
Westeuropa,Schwamendingen-Mitte,39
Westeuropa,Seebach,181
Westeuropa,Seefeld,113
Westeuropa,Sihlfeld,139
Westeuropa,Unterstrass,163
Westeuropa,Weinegg,36
Westeuropa,Werd,68
Westeuropa,Wipkingen,70
Westeuropa,Witikon,48
Westeuropa,Wollishofen,60
Zentralafrika,Altstetten,3
Zentralafrika,Hirzenbach,0
Zentralafrika,Schwamendingen-Mitte,1
Zentralafrika,Sihlfeld,1
Zentralafrika,Wipkingen,1
Zentralafrika,Witikon,1
Zentralamerika,Affoltern,4
Zentralamerika,Albisrieden,4
Zentralamerika,Alt-Wiedikon,4
Zentralamerika,Altstetten,8
Zentralamerika,Enge,2
Zentralamerika,Escher Wyss,2
Zentralamerika,Fluntern,3
Zentralamerika,Friesenberg,2
Zentralamerika,Gewerbeschule,2
Zentralamerika,Hard,2
Zentralamerika,Hirslanden,4
Zentralamerika,Hirzenbach,2
Zentralamerika,Hochschulen,1
Zentralamerika,Hottingen,7
Zentralamerika,Höngg,3
Zentralamerika,Langstrasse,2
Zentralamerika,Leimbach,1
Zentralamerika,Oberstrass,5
Zentralamerika,Oerlikon,2
Zentralamerika,Rathaus,1
Zentralamerika,Saatlen,1
Zentralamerika,Schwamendingen-Mitte,1
Zentralamerika,Seebach,5
Zentralamerika,Seefeld,3
Zentralamerika,Sihlfeld,5
Zentralamerika,Unterstrass,8
Zentralamerika,Weinegg,1
Zentralamerika,Werd,0
Zentralamerika,Wipkingen,8
Zentralamerika,Wollishofen,3
Zentralasien,Altstetten,1
Zentralasien,Enge,1
Zentralasien,Fluntern,1
Zentralasien,Hottingen,1
Zentralasien,Höngg,1
Zentralasien,Langstrasse,5
Zentralasien,Oberstrass,0
Zentralasien,Oerlikon,2
Zentralasien,Rathaus,5
Zentralasien,Schwamendingen-Mitte,3
Zentralasien,Seefeld,1
Zentralasien,Weinegg,4
Zentralasien,Witikon,2
Zentraleuropa,Affoltern,1547
Zentraleuropa,Albisrieden,800
Zentraleuropa,Alt-Wiedikon,1325
Zentraleuropa,Altstetten,1870
Zentraleuropa,City,93
Zentraleuropa,Enge,736
Zentraleuropa,Escher Wyss,504
Zentraleuropa,Fluntern,599
Zentraleuropa,Friesenberg,320
Zentraleuropa,Gewerbeschule,764
Zentraleuropa,Hard,957
Zentraleuropa,Hirslanden,456
Zentraleuropa,Hirzenbach,768
Zentraleuropa,Hochschulen,68
Zentraleuropa,Hottingen,958
Zentraleuropa,Höngg,1025
Zentraleuropa,Langstrasse,1578
Zentraleuropa,Leimbach,285
Zentraleuropa,Lindenhof,126
Zentraleuropa,Mühlebach,560
Zentraleuropa,Oberstrass,864
Zentraleuropa,Oerlikon,1868
Zentraleuropa,Rathaus,488
Zentraleuropa,Saatlen,418
Zentraleuropa,Schwamendingen-Mitte,792
Zentraleuropa,Seebach,1880
Zentraleuropa,Seefeld,420
Zentraleuropa,Sihlfeld,1509
Zentraleuropa,Unterstrass,1570
Zentraleuropa,Weinegg,421
Zentraleuropa,Werd,432
Zentraleuropa,Wipkingen,1066
Zentraleuropa,Witikon,535
Zentraleuropa,Wollishofen,916
