Ereignisjahr,qcode,qname,Anzahl_Geburten_wirtschaftlich,wirtschaftliche_Bevölkerung,Geburtenziffer_Promille
1995,44,Hard,142,12848,11.0523
1995,51,Gewerbeschule,104,9881,10.52525
1995,52,Escher Wyss,11,1643,6.69507
1995,61,Unterstrass,206,20346,10.12484
1995,63,Oberstrass,78,10156,7.680189
1995,71,Fluntern,40,7181,5.570255
1995,72,Hottingen,79,10200,7.745098
1995,73,Hirslanden,73,6688,10.91507
1995,74,Witikon,83,9721,8.538216
1995,81,Seefeld,43,5320,8.082707
1995,82,Mühlebach,59,5641,10.45914
1995,83,Weinegg,45,4877,9.226984
1995,91,Albisrieden,142,16817,8.443837
1995,92,Altstetten,273,27745,9.839611
1995,101,Höngg,153,19178,7.977891
1995,102,Wipkingen,177,16086,11.00336
1995,111,Affoltern,180,18095,9.947499
1995,115,Oerlikon,160,16928,9.451796
1995,119,Seebach,176,17710,9.937888
1995,121,Saatlen,44,6424,6.849315
1995,122,Schwamendingen-Mitte,82,10338,7.931902
1995,123,Hirzenbach,110,10933,10.06128
1996,11,Rathaus,26,3078,8.447044
1996,12,Hochschulen,2,753,2.656042
1996,13,Lindenhof,11,1044,10.5364
1996,14,City,12,981,12.23242
1996,21,Wollishofen,150,15865,9.454775
1996,23,Leimbach,30,4553,6.589062
1996,24,Enge,91,8134,11.18761
1996,31,Alt-Wiedikon,180,14869,12.10572
1996,33,Friesenberg,66,9993,6.604623
1996,34,Sihlfeld,223,21233,10.50252
1996,41,Werd,44,3979,11.05805
1996,42,Langstrasse,105,10718,9.796604
1996,44,Hard,155,12937,11.98114
1996,51,Gewerbeschule,111,9700,11.4433
1996,52,Escher Wyss,15,1643,9.129641
1996,61,Unterstrass,178,20328,8.756395
1996,63,Oberstrass,81,10119,8.004744
1996,71,Fluntern,49,7178,6.826414
1996,72,Hottingen,95,10347,9.181405
1996,73,Hirslanden,68,6704,10.1432
1996,74,Witikon,86,9647,8.914689
1996,81,Seefeld,35,5226,6.697283
1996,82,Mühlebach,32,5566,5.749192
1996,83,Weinegg,45,4900,9.183673
1996,91,Albisrieden,143,16705,8.560311
1996,92,Altstetten,273,27658,9.870562
1996,101,Höngg,168,19604,8.56968
1996,102,Wipkingen,173,16131,10.72469
1996,111,Affoltern,175,18117,9.659436
1996,115,Oerlikon,159,16717,9.511276
1996,119,Seebach,179,17629,10.15372
1996,121,Saatlen,49,6384,7.675439
1996,122,Schwamendingen-Mitte,105,10218,10.27598
1996,123,Hirzenbach,116,10990,10.55505
1997,11,Rathaus,13,3083,4.216672
1997,12,Hochschulen,1,762,1.312336
1997,13,Lindenhof,8,1025,7.804878
1997,14,City,7,996,7.028112
1997,21,Wollishofen,146,15836,9.2195
1997,23,Leimbach,34,4484,7.582516
1997,24,Enge,92,8148,11.29111
1997,31,Alt-Wiedikon,179,15000,11.93333
1997,33,Friesenberg,59,9991,5.905315
1997,34,Sihlfeld,265,21132,12.54022
1997,41,Werd,48,3928,12.21996
1997,42,Langstrasse,114,10480,10.87786
1997,44,Hard,131,12884,10.16765
1997,51,Gewerbeschule,99,9525,10.3937
1997,52,Escher Wyss,15,1623,9.242144
1997,61,Unterstrass,186,20292,9.166174
1997,63,Oberstrass,82,10003,8.197541
1997,71,Fluntern,53,7191,7.370324
1997,72,Hottingen,108,10323,10.46207
1997,73,Hirslanden,56,6662,8.405884
1997,74,Witikon,86,9577,8.979848
1997,81,Seefeld,47,5155,9.117362
1997,82,Mühlebach,35,5474,6.393862
1997,83,Weinegg,43,4799,8.9602
1997,91,Albisrieden,157,16630,9.44077
1997,92,Altstetten,258,27662,9.326874
1997,101,Höngg,176,19793,8.892033
1997,102,Wipkingen,148,15817,9.357021
1997,111,Affoltern,178,18144,9.810406
1997,115,Oerlikon,179,16667,10.73979
1997,119,Seebach,159,17752,8.956737
1997,121,Saatlen,69,6428,10.73429
1997,122,Schwamendingen-Mitte,102,10315,9.888512
1997,123,Hirzenbach,126,11013,11.44102
1998,11,Rathaus,14,3050,4.590164
1998,12,Hochschulen,5,792,6.313131
1998,13,Lindenhof,8,995,8.040201
1998,14,City,6,1030,5.825243
1998,21,Wollishofen,143,15841,9.027208
1998,23,Leimbach,38,4619,8.226889
1998,24,Enge,82,8135,10.0799
1998,31,Alt-Wiedikon,173,14975,11.55259
1998,33,Friesenberg,68,10029,6.780337
1998,34,Sihlfeld,211,21018,10.03901
1998,41,Werd,45,3913,11.50013
1998,42,Langstrasse,105,10399,10.09712
1998,44,Hard,154,12871,11.96488
1998,51,Gewerbeschule,107,9464,11.306
1998,52,Escher Wyss,23,1580,14.55696
1998,61,Unterstrass,183,20278,9.024559
1998,63,Oberstrass,81,9916,8.168616
1998,71,Fluntern,52,7272,7.150715
1998,72,Hottingen,88,10238,8.595429
1998,73,Hirslanden,69,6704,10.29236
1998,74,Witikon,78,9553,8.164974
1998,81,Seefeld,43,5087,8.452919
1998,82,Mühlebach,38,5461,6.958433
1998,83,Weinegg,59,4816,12.25083
1998,91,Albisrieden,136,16548,8.218516
1998,92,Altstetten,241,27655,8.714518
1998,101,Höngg,172,20054,8.576843
1998,102,Wipkingen,175,15643,11.18711
1998,111,Affoltern,187,18367,10.1813
1998,115,Oerlikon,193,16925,11.40325
1998,119,Seebach,194,18008,10.77299
1998,121,Saatlen,71,6568,10.80999
1998,122,Schwamendingen-Mitte,98,10254,9.557246
1998,123,Hirzenbach,115,11015,10.44031
1999,11,Rathaus,24,3104,7.731959
1999,12,Hochschulen,3,769,3.90117
1999,13,Lindenhof,7,1032,6.782946
1999,14,City,9,967,9.307135
1999,21,Wollishofen,125,15911,7.8562
1999,23,Leimbach,43,4650,9.247312
1999,24,Enge,79,8119,9.730262
1999,31,Alt-Wiedikon,195,14889,13.09692
1999,33,Friesenberg,53,10013,5.293119
1999,34,Sihlfeld,234,20997,11.14445
1999,41,Werd,40,3966,10.08573
1999,42,Langstrasse,93,10370,8.968177
1999,44,Hard,128,12951,9.883407
1999,51,Gewerbeschule,105,9594,10.94434
1999,52,Escher Wyss,28,1953,14.33692
1999,61,Unterstrass,195,20095,9.703906
1999,63,Oberstrass,82,9903,8.280319
1999,71,Fluntern,55,7298,7.536311
1999,72,Hottingen,90,10305,8.733624
1999,73,Hirslanden,79,6839,11.5514
1999,74,Witikon,72,9554,7.536111
1999,81,Seefeld,39,4969,7.848662
1999,82,Mühlebach,39,5527,7.056269
1999,83,Weinegg,47,4800,9.791667
1999,91,Albisrieden,121,16341,7.404688
1999,92,Altstetten,300,27928,10.74191
1999,101,Höngg,179,20559,8.706649
1999,102,Wipkingen,168,15531,10.81708
1999,111,Affoltern,191,18362,10.40192
1999,115,Oerlikon,190,17260,11.00811
1999,119,Seebach,178,17995,9.891637
1999,121,Saatlen,72,6554,10.98566
1999,122,Schwamendingen-Mitte,117,10480,11.16412
1999,123,Hirzenbach,109,11119,9.80304
2000,11,Rathaus,17,3109,5.467996
2000,12,Hochschulen,5,759,6.587615
2000,13,Lindenhof,2,989,2.022245
2000,14,City,6,929,6.458558
2000,21,Wollishofen,146,16119,9.057634
2000,23,Leimbach,36,4644,7.751938
2000,24,Enge,100,8172,12.23691
2000,31,Alt-Wiedikon,178,14789,12.03597
2000,33,Friesenberg,79,9972,7.922182
2000,34,Sihlfeld,214,20887,10.24561
2000,41,Werd,47,3917,11.99898
2000,42,Langstrasse,97,10237,9.475432
2000,44,Hard,123,12875,9.553398
2000,51,Gewerbeschule,117,9824,11.90961
2000,52,Escher Wyss,27,1929,13.99689
2000,61,Unterstrass,187,19944,9.376254
2000,63,Oberstrass,67,9867,6.790311
2000,71,Fluntern,60,7267,8.256502
2000,72,Hottingen,107,10145,10.54707
2000,73,Hirslanden,56,6761,8.282798
2000,74,Witikon,76,9544,7.963118
2000,81,Seefeld,46,4989,9.220285
2000,82,Mühlebach,50,5545,9.017133
2000,83,Weinegg,37,4804,7.701915
2000,91,Albisrieden,135,16445,8.209182
2000,92,Altstetten,296,28174,10.50614
2000,101,Höngg,208,20423,10.1846
2000,102,Wipkingen,160,15704,10.18849
2000,111,Affoltern,207,18282,11.32261
2000,115,Oerlikon,177,17787,9.951088
2000,119,Seebach,198,17975,11.0153
2000,121,Saatlen,66,6338,10.41338
2000,122,Schwamendingen-Mitte,128,10554,12.1281
2000,123,Hirzenbach,122,11281,10.81464
2001,11,Rathaus,15,3103,4.834032
2001,12,Hochschulen,4,738,5.420054
2001,13,Lindenhof,5,948,5.274262
2001,14,City,8,907,8.820287
2001,21,Wollishofen,125,15946,7.838956
2001,23,Leimbach,36,4668,7.712082
2001,24,Enge,84,8084,10.3909
2001,31,Alt-Wiedikon,149,14692,10.14157
2001,33,Friesenberg,59,10042,5.875324
2001,34,Sihlfeld,250,20704,12.07496
2001,41,Werd,48,3838,12.50651
2001,42,Langstrasse,80,10276,7.78513
2001,44,Hard,153,12841,11.91496
2001,51,Gewerbeschule,97,9835,9.862735
2001,52,Escher Wyss,29,2133,13.59587
2001,61,Unterstrass,194,19843,9.776747
2001,63,Oberstrass,98,9767,10.03379
2001,71,Fluntern,61,7221,8.447583
2001,72,Hottingen,71,10094,7.033882
2001,73,Hirslanden,58,6802,8.526904
2001,74,Witikon,68,9559,7.113715
2001,81,Seefeld,58,5025,11.54229
2001,82,Mühlebach,38,5486,6.926723
2001,83,Weinegg,42,4816,8.72093
2001,91,Albisrieden,138,16614,8.306248
2001,92,Altstetten,290,28783,10.07539
2001,101,Höngg,185,20588,8.985817
2001,102,Wipkingen,139,15567,8.929145
2001,111,Affoltern,173,18588,9.30708
2001,115,Oerlikon,204,18120,11.25828
2001,119,Seebach,189,18208,10.38005
2001,121,Saatlen,69,6386,10.80489
2001,122,Schwamendingen-Mitte,116,10518,11.02871
2001,123,Hirzenbach,139,11302,12.29871
2002,11,Rathaus,18,3128,5.754476
2002,12,Hochschulen,5,727,6.877579
2002,13,Lindenhof,12,950,12.63158
2002,14,City,7,910,7.692308
2002,21,Wollishofen,148,15789,9.373615
2002,23,Leimbach,37,4681,7.904294
2002,24,Enge,111,8261,13.43663
2002,31,Alt-Wiedikon,143,14811,9.654986
2002,33,Friesenberg,73,10188,7.165293
2002,34,Sihlfeld,235,20731,11.33568
2002,41,Werd,55,3850,14.28571
2002,42,Langstrasse,102,10447,9.763568
2002,44,Hard,129,12856,10.03423
2002,51,Gewerbeschule,105,9900,10.60606
2002,52,Escher Wyss,29,2516,11.52623
2002,61,Unterstrass,206,19874,10.3653
2002,63,Oberstrass,73,9725,7.506427
2002,71,Fluntern,56,7069,7.921913
2002,72,Hottingen,73,10021,7.284702
2002,73,Hirslanden,58,6781,8.553311
2002,74,Witikon,73,9571,7.627207
2002,81,Seefeld,61,5122,11.90941
2002,82,Mühlebach,50,5450,9.174312
2002,83,Weinegg,42,4776,8.79397
2002,91,Albisrieden,127,16669,7.618933
2002,92,Altstetten,314,28776,10.91187
2002,101,Höngg,190,20570,9.236753
2002,102,Wipkingen,143,15495,9.228783
2002,111,Affoltern,195,18644,10.45913
2002,115,Oerlikon,203,18670,10.87306
2002,119,Seebach,189,19034,9.9296
2002,121,Saatlen,62,6662,9.306515
2002,122,Schwamendingen-Mitte,111,10470,10.60172
2002,123,Hirzenbach,118,11434,10.3201
2003,11,Rathaus,17,3149,5.398539
2003,12,Hochschulen,2,723,2.766252
2003,13,Lindenhof,13,942,13.80042
2003,14,City,7,886,7.900677
2003,21,Wollishofen,140,15483,9.042175
2003,23,Leimbach,40,4830,8.281573
2003,24,Enge,105,8213,12.78461
2003,31,Alt-Wiedikon,160,14459,11.06577
2003,33,Friesenberg,63,10387,6.065274
2003,34,Sihlfeld,249,20663,12.05053
2003,41,Werd,56,3788,14.78353
2003,42,Langstrasse,94,10304,9.122671
2003,44,Hard,137,12817,10.68893
2003,51,Gewerbeschule,112,9781,11.45077
2003,52,Escher Wyss,24,2465,9.736308
2003,61,Unterstrass,199,19892,10.00402
2003,63,Oberstrass,84,9690,8.668731
2003,71,Fluntern,58,7102,8.166714
2003,72,Hottingen,86,10014,8.587977
2003,73,Hirslanden,71,6798,10.44425
2003,74,Witikon,72,9503,7.576555
2003,81,Seefeld,47,4996,9.407526
2003,82,Mühlebach,50,5434,9.201325
2003,83,Weinegg,35,4747,7.373078
2003,91,Albisrieden,134,17018,7.874016
2003,92,Altstetten,316,28323,11.15701
2003,101,Höngg,206,20810,9.899087
2003,102,Wipkingen,168,15476,10.85552
2003,111,Affoltern,202,18724,10.78829
2003,115,Oerlikon,166,19113,8.685188
2003,119,Seebach,221,19501,11.33275
2003,121,Saatlen,66,6583,10.02582
2003,122,Schwamendingen-Mitte,104,10482,9.921771
2003,123,Hirzenbach,125,11432,10.93422
2004,11,Rathaus,14,3115,4.494382
2004,12,Hochschulen,4,725,5.517241
2004,13,Lindenhof,10,947,10.55966
2004,14,City,6,843,7.117438
2004,21,Wollishofen,117,15511,7.543034
2004,23,Leimbach,34,4778,7.115948
2004,24,Enge,89,8197,10.85763
2004,31,Alt-Wiedikon,177,14551,12.16411
2004,33,Friesenberg,85,10326,8.231648
2004,34,Sihlfeld,236,20567,11.47469
2004,41,Werd,37,3763,9.83258
2004,42,Langstrasse,105,10319,10.1754
2004,44,Hard,112,12804,8.747266
2004,51,Gewerbeschule,106,9773,10.84621
2004,52,Escher Wyss,35,2624,13.33841
2004,61,Unterstrass,210,19751,10.63237
2004,63,Oberstrass,90,9546,9.428033
2004,71,Fluntern,99,7285,13.58957
2004,72,Hottingen,90,9923,9.069838
2004,73,Hirslanden,66,6809,9.693053
2004,74,Witikon,91,9711,9.370817
2004,81,Seefeld,41,4993,8.211496
2004,82,Mühlebach,58,5546,10.45799
2004,83,Weinegg,42,4771,8.803186
2004,91,Albisrieden,151,17087,8.837128
2004,92,Altstetten,308,28368,10.8573
2004,101,Höngg,242,20856,11.60338
2004,102,Wipkingen,170,15428,11.01893
2004,111,Affoltern,179,18818,9.512169
2004,115,Oerlikon,218,19276,11.3094
2004,119,Seebach,241,19569,12.3154
2004,121,Saatlen,71,6697,10.60176
2004,122,Schwamendingen-Mitte,125,10364,12.06098
2004,123,Hirzenbach,132,11336,11.64432
2005,11,Rathaus,19,3081,6.166829
2005,12,Hochschulen,0,0,0
2005,13,Lindenhof,6,950,6.315789
2005,14,City,10,846,11.82033
2005,21,Wollishofen,147,15609,9.417644
2005,23,Leimbach,43,4867,8.835011
2005,24,Enge,121,8358,14.47715
2005,31,Alt-Wiedikon,177,14971,11.82286
2005,33,Friesenberg,55,10360,5.30888
2005,34,Sihlfeld,256,20554,12.455
2005,41,Werd,56,3878,14.44043
2005,42,Langstrasse,102,10368,9.837963
2005,44,Hard,125,12715,9.830908
2005,51,Gewerbeschule,97,9690,10.01032
2005,52,Escher Wyss,28,2727,10.26769
2005,61,Unterstrass,237,19929,11.89222
2005,63,Oberstrass,105,9494,11.05962
2005,71,Fluntern,87,7325,11.87713
2005,72,Hottingen,115,10096,11.39065
2005,73,Hirslanden,77,6863,11.21958
2005,74,Witikon,89,9864,9.022709
2005,81,Seefeld,41,4923,8.328255
2005,82,Mühlebach,69,5577,12.37224
2005,83,Weinegg,62,4843,12.80198
2005,91,Albisrieden,147,17226,8.533612
2005,92,Altstetten,291,28278,10.29069
2005,101,Höngg,200,20773,9.627882
2005,102,Wipkingen,163,15446,10.55289
2005,111,Affoltern,205,18665,10.98312
2005,115,Oerlikon,214,19564,10.93846
2005,119,Seebach,226,19947,11.33002
2005,121,Saatlen,71,6649,10.6783
2005,122,Schwamendingen-Mitte,112,10413,10.75579
2005,123,Hirzenbach,142,11265,12.60542
2006,11,Rathaus,16,3097,5.16629
2006,12,Hochschulen,6,711,8.438819
2006,13,Lindenhof,7,955,7.329843
2006,14,City,8,845,9.467456
2006,21,Wollishofen,139,15604,8.907972
2006,23,Leimbach,51,4944,10.31553
2006,24,Enge,120,8350,14.37126
2006,31,Alt-Wiedikon,190,15231,12.47456
2006,33,Friesenberg,81,10342,7.832141
2006,34,Sihlfeld,233,20314,11.46992
2006,41,Werd,61,3865,15.78266
2006,42,Langstrasse,111,10332,10.74332
2006,44,Hard,115,12508,9.194116
2006,51,Gewerbeschule,123,9735,12.63482
2006,52,Escher Wyss,32,2987,10.71309
2006,61,Unterstrass,223,19968,11.16787
2006,63,Oberstrass,103,9698,10.62075
2006,71,Fluntern,93,7379,12.60333
2006,72,Hottingen,89,10176,8.746069
2006,73,Hirslanden,72,6908,10.4227
2006,74,Witikon,89,9958,8.937538
2006,81,Seefeld,64,4842,13.21768
2006,82,Mühlebach,44,5549,7.929357
2006,83,Weinegg,46,4816,9.551495
2006,91,Albisrieden,183,17275,10.59334
2006,92,Altstetten,313,28868,10.84246
2006,101,Höngg,248,21017,11.79997
2006,102,Wipkingen,181,15392,11.75936
2006,111,Affoltern,187,18733,9.982384
2006,115,Oerlikon,245,20369,12.02808
2006,119,Seebach,260,20744,12.53374
2006,121,Saatlen,65,6695,9.708738
2006,122,Schwamendingen-Mitte,112,10650,10.51643
2006,123,Hirzenbach,119,11205,10.62026
2007,11,Rathaus,24,3079,7.794739
2007,12,Hochschulen,2,698,2.86533
2007,13,Lindenhof,6,954,6.289308
2007,14,City,5,876,5.707763
2007,21,Wollishofen,143,15744,9.082825
2007,23,Leimbach,64,5204,12.29823
2007,24,Enge,130,8473,15.34285
2007,31,Alt-Wiedikon,203,15440,13.14767
2007,33,Friesenberg,74,10296,7.187257
2007,34,Sihlfeld,259,20372,12.71353
2007,41,Werd,45,3944,11.40974
2007,42,Langstrasse,93,10310,9.020369
2007,44,Hard,141,12802,11.0139
2007,51,Gewerbeschule,114,9706,11.74531
2007,52,Escher Wyss,31,3008,10.30585
2007,61,Unterstrass,239,20243,11.80655
2007,63,Oberstrass,124,9960,12.4498
2007,71,Fluntern,91,7455,12.20657
2007,72,Hottingen,137,10284,13.32166
2007,73,Hirslanden,85,6977,12.18289
2007,74,Witikon,100,10127,9.874593
2007,81,Seefeld,62,4920,12.60163
2007,82,Mühlebach,43,5567,7.724088
2007,83,Weinegg,46,4944,9.304207
2007,91,Albisrieden,161,17527,9.185828
2007,92,Altstetten,308,29348,10.49475
2007,101,Höngg,210,21075,9.964413
2007,102,Wipkingen,191,15399,12.4034
2007,111,Affoltern,225,20844,10.79447
2007,115,Oerlikon,213,20754,10.26308
2007,119,Seebach,225,21494,10.46804
2007,121,Saatlen,80,6842,11.69249
2007,122,Schwamendingen-Mitte,120,10806,11.10494
2007,123,Hirzenbach,125,11343,11.02001
2008,11,Rathaus,13,3051,4.260898
2008,12,Hochschulen,7,702,9.97151
2008,13,Lindenhof,5,940,5.319149
2008,14,City,8,843,9.489917
2008,21,Wollishofen,176,15794,11.14347
2008,23,Leimbach,57,5185,10.99325
2008,24,Enge,111,8552,12.97942
2008,31,Alt-Wiedikon,222,15727,14.11585
2008,33,Friesenberg,89,10325,8.619855
2008,34,Sihlfeld,267,20543,12.99713
2008,41,Werd,61,4015,15.19303
2008,42,Langstrasse,100,10455,9.564802
2008,44,Hard,124,12884,9.62434
2008,51,Gewerbeschule,102,9751,10.46047
2008,52,Escher Wyss,32,2971,10.77078
2008,61,Unterstrass,264,20655,12.78141
2008,63,Oberstrass,125,10102,12.37379
2008,71,Fluntern,91,7542,12.06577
2008,72,Hottingen,135,10548,12.79863
2008,73,Hirslanden,82,6967,11.76977
2008,74,Witikon,91,10183,8.936463
2008,81,Seefeld,48,4863,9.87045
2008,82,Mühlebach,49,5491,8.923693
2008,83,Weinegg,65,4961,13.1022
2008,91,Albisrieden,184,17555,10.48134
2008,92,Altstetten,320,29740,10.75992
2008,101,Höngg,252,21186,11.89465
2008,102,Wipkingen,187,15500,12.06452
2008,111,Affoltern,275,21939,12.53476
2008,115,Oerlikon,214,20853,10.26231
2008,119,Seebach,281,21491,13.07524
2008,121,Saatlen,66,6843,9.644893
2008,122,Schwamendingen-Mitte,116,10864,10.67747
2008,123,Hirzenbach,130,11478,11.32601
2009,11,Rathaus,32,3110,10.28939
2009,12,Hochschulen,1,673,1.485884
2009,13,Lindenhof,6,940,6.382979
2009,14,City,7,853,8.206331
2009,21,Wollishofen,162,15854,10.21824
2009,23,Leimbach,58,5287,10.9703
2009,24,Enge,138,8668,15.92063
2009,31,Alt-Wiedikon,243,15504,15.67337
2009,33,Friesenberg,125,11003,11.36054
2009,34,Sihlfeld,263,20464,12.85184
2009,41,Werd,68,4104,16.5692
2009,42,Langstrasse,100,10392,9.622787
2009,44,Hard,148,12902,11.47109
2009,51,Gewerbeschule,130,9717,13.37861
2009,52,Escher Wyss,53,3060,17.32026
2009,61,Unterstrass,287,21101,13.60125
2009,63,Oberstrass,118,10051,11.74013
2009,71,Fluntern,83,7528,11.0255
2009,72,Hottingen,123,10594,11.61035
2009,73,Hirslanden,85,6956,12.21967
2009,74,Witikon,97,10284,9.432128
2009,81,Seefeld,71,4732,15.00423
2009,82,Mühlebach,59,5545,10.64022
2009,83,Weinegg,57,4935,11.55015
2009,91,Albisrieden,187,17675,10.57992
2009,92,Altstetten,377,29845,12.63193
2009,101,Höngg,259,21294,12.16305
2009,102,Wipkingen,214,15645,13.67849
2009,111,Affoltern,261,22282,11.71349
2009,115,Oerlikon,268,20719,12.93499
2009,119,Seebach,232,21590,10.74572
2009,121,Saatlen,84,7132,11.7779
2009,122,Schwamendingen-Mitte,107,10857,9.855393
2009,123,Hirzenbach,136,11610,11.71404
2010,11,Rathaus,16,3099,5.162956
2010,12,Hochschulen,8,678,11.79941
2010,13,Lindenhof,6,951,6.309148
2010,14,City,8,835,9.580838
2010,21,Wollishofen,189,15988,11.82137
2010,23,Leimbach,65,5293,12.28037
2010,24,Enge,138,8597,16.05211
2010,31,Alt-Wiedikon,245,15988,15.32399
2010,33,Friesenberg,88,10596,8.305021
2010,34,Sihlfeld,286,20115,14.21825
2010,41,Werd,61,4167,14.63883
2010,42,Langstrasse,129,10379,12.42894
2010,44,Hard,148,12883,11.48801
2010,51,Gewerbeschule,98,9688,10.11561
2010,52,Escher Wyss,41,3076,13.329
2010,61,Unterstrass,293,21233,13.79927
2010,63,Oberstrass,136,10231,13.29293
2010,71,Fluntern,95,7637,12.43944
2010,72,Hottingen,115,10570,10.87985
2010,73,Hirslanden,80,6998,11.43184
2010,74,Witikon,89,10242,8.689709
2010,81,Seefeld,72,4840,14.87603
2010,82,Mühlebach,53,5679,9.332629
2010,83,Weinegg,45,4999,9.0018
2010,91,Albisrieden,190,17835,10.65321
2010,92,Altstetten,342,30659,11.15496
2010,101,Höngg,223,21179,10.5293
2010,102,Wipkingen,218,15700,13.88535
2010,111,Affoltern,272,22868,11.89435
2010,115,Oerlikon,239,20787,11.49757
2010,119,Seebach,239,22141,10.79445
2010,121,Saatlen,92,7175,12.8223
2010,122,Schwamendingen-Mitte,128,10903,11.73989
2010,123,Hirzenbach,141,11459,12.30474
2011,11,Rathaus,21,3140,6.687898
2011,12,Hochschulen,4,681,5.873715
2011,13,Lindenhof,6,950,6.315789
2011,14,City,7,779,8.985879
2011,21,Wollishofen,200,16055,12.45718
2011,23,Leimbach,52,5340,9.737828
2011,24,Enge,146,8684,16.81253
2011,31,Alt-Wiedikon,232,16014,14.48732
2011,33,Friesenberg,106,10622,9.979288
2011,34,Sihlfeld,266,20307,13.09893
2011,41,Werd,78,4189,18.6202
2011,42,Langstrasse,121,10520,11.5019
2011,44,Hard,130,12744,10.20088
2011,51,Gewerbeschule,136,9795,13.88464
2011,52,Escher Wyss,38,3129,12.14446
2011,61,Unterstrass,301,21240,14.17137
2011,63,Oberstrass,133,10316,12.89259
2011,71,Fluntern,92,7873,11.68551
2011,72,Hottingen,121,10461,11.56677
2011,73,Hirslanden,76,7024,10.82005
2011,74,Witikon,100,10258,9.748489
2011,81,Seefeld,50,4908,10.18745
2011,82,Mühlebach,66,5651,11.67935
2011,83,Weinegg,61,4942,12.34318
2011,91,Albisrieden,242,18432,13.12934
2011,92,Altstetten,341,31381,10.86645
2011,101,Höngg,217,21323,10.1768
2011,102,Wipkingen,224,15869,14.11557
2011,111,Affoltern,306,24336,12.57396
2011,115,Oerlikon,262,21253,12.32767
2011,119,Seebach,277,22356,12.39041
2011,121,Saatlen,81,7131,11.35886
2011,122,Schwamendingen-Mitte,135,10863,12.42751
