QNr,Qname,Jahr,Anzahl
83,Weinegg,2004,4771
91,Albisrieden,2004,17087
92,Altstetten,2004,28368
101,Höngg,2004,20856
102,Wipkingen,2004,15428
111,Affoltern,2004,18886
115,Oerlikon,2004,19375
119,Seebach,2004,19501
121,Saatlen,2004,6697
122,Schwamendingen-Mitte,2004,10274
123,Hirzenbach,2004,11336
11,Rathaus,2005,3081
12,Hochschulen,2005,695
13,Lindenhof,2005,950
14,City,2005,846
21,Wollishofen,2005,15592
23,Leimbach,2005,4867
24,Enge,2005,8375
31,Alt-Wiedikon,2005,14971
33,Friesenberg,2005,10360
34,Sihlfeld,2005,20554
41,Werd,2005,3878
42,Langstrasse,2005,10368
44,Hard,2005,12715
51,Gewerbeschule,2005,9690
52,Escher Wyss,2005,2727
61,Unterstrass,2005,19921
63,Oberstrass,2005,9494
71,Fluntern,2005,7325
72,Hottingen,2005,10100
73,Hirslanden,2005,6859
74,Witikon,2005,9864
81,Seefeld,2005,4923
82,Mühlebach,2005,5577
83,Weinegg,2005,4843
91,Albisrieden,2005,17226
92,Altstetten,2005,28278
101,Höngg,2005,20773
102,Wipkingen,2005,15446
111,Affoltern,2005,18733
115,Oerlikon,2005,19663
119,Seebach,2005,19879
121,Saatlen,2005,6649
122,Schwamendingen-Mitte,2005,10322
123,Hirzenbach,2005,11265
11,Rathaus,2006,3097
12,Hochschulen,2006,711
13,Lindenhof,2006,955
14,City,2006,845
21,Wollishofen,2006,15587
23,Leimbach,2006,4944
24,Enge,2006,8367
31,Alt-Wiedikon,2006,15231
33,Friesenberg,2006,10342
34,Sihlfeld,2006,20314
41,Werd,2006,3865
42,Langstrasse,2006,10332
44,Hard,2006,12508
51,Gewerbeschule,2006,9735
52,Escher Wyss,2006,2987
61,Unterstrass,2006,19959
63,Oberstrass,2006,9698
71,Fluntern,2006,7379
72,Hottingen,2006,10180
73,Hirslanden,2006,6904
74,Witikon,2006,9958
81,Seefeld,2006,4842
82,Mühlebach,2006,5549
83,Weinegg,2006,4816
91,Albisrieden,2006,17275
92,Altstetten,2006,28868
101,Höngg,2006,21017
102,Wipkingen,2006,15392
111,Affoltern,2006,18793
115,Oerlikon,2006,20318
119,Seebach,2006,20757
121,Saatlen,2006,6695
122,Schwamendingen-Mitte,2006,10637
123,Hirzenbach,2006,11205
11,Rathaus,2007,3079
12,Hochschulen,2007,698
13,Lindenhof,2007,954
14,City,2007,876
21,Wollishofen,2007,15744
23,Leimbach,2007,5204
24,Enge,2007,8473
31,Alt-Wiedikon,2007,15440
33,Friesenberg,2007,10296
34,Sihlfeld,2007,20372
41,Werd,2007,3944
42,Langstrasse,2007,10310
44,Hard,2007,12802
51,Gewerbeschule,2007,9706
52,Escher Wyss,2007,3008
61,Unterstrass,2007,20243
63,Oberstrass,2007,9960
71,Fluntern,2007,7455
72,Hottingen,2007,10284
73,Hirslanden,2007,6977
74,Witikon,2007,10127
81,Seefeld,2007,4920
82,Mühlebach,2007,5567
83,Weinegg,2007,4944
91,Albisrieden,2007,17527
92,Altstetten,2007,29348
101,Höngg,2007,21075
102,Wipkingen,2007,15399
111,Affoltern,2007,20948
115,Oerlikon,2007,20754
119,Seebach,2007,21390
121,Saatlen,2007,6842
122,Schwamendingen-Mitte,2007,10806
123,Hirzenbach,2007,11343
11,Rathaus,2008,3051
12,Hochschulen,2008,702
13,Lindenhof,2008,940
14,City,2008,843
21,Wollishofen,2008,15794
23,Leimbach,2008,5185
24,Enge,2008,8552
31,Alt-Wiedikon,2008,15727
33,Friesenberg,2008,10325
34,Sihlfeld,2008,20543
41,Werd,2008,4015
42,Langstrasse,2008,10455
44,Hard,2008,12884
51,Gewerbeschule,2008,9751
52,Escher Wyss,2008,2971
61,Unterstrass,2008,20655
63,Oberstrass,2008,10102
71,Fluntern,2008,7542
72,Hottingen,2008,10548
73,Hirslanden,2008,6967
74,Witikon,2008,10183
81,Seefeld,2008,4863
82,Mühlebach,2008,5491
83,Weinegg,2008,4961
91,Albisrieden,2008,17555
92,Altstetten,2008,29740
101,Höngg,2008,21186
102,Wipkingen,2008,15500
111,Affoltern,2008,22044
115,Oerlikon,2008,20853
119,Seebach,2008,21386
121,Saatlen,2008,6843
122,Schwamendingen-Mitte,2008,10864
123,Hirzenbach,2008,11478
11,Rathaus,2009,3110
12,Hochschulen,2009,673
13,Lindenhof,2009,940
14,City,2009,853
21,Wollishofen,2009,15854
23,Leimbach,2009,5287
24,Enge,2009,8668
31,Alt-Wiedikon,2009,15504
33,Friesenberg,2009,11003
34,Sihlfeld,2009,20464
41,Werd,2009,4104
42,Langstrasse,2009,10392
44,Hard,2009,12902
51,Gewerbeschule,2009,9717
52,Escher Wyss,2009,3060
61,Unterstrass,2009,21080
63,Oberstrass,2009,10051
71,Fluntern,2009,7528
72,Hottingen,2009,10594
73,Hirslanden,2009,6956
74,Witikon,2009,10284
81,Seefeld,2009,4732
82,Mühlebach,2009,5545
83,Weinegg,2009,4935
91,Albisrieden,2009,17675
92,Altstetten,2009,29845
101,Höngg,2009,21294
102,Wipkingen,2009,15645
111,Affoltern,2009,22383
115,Oerlikon,2009,20740
119,Seebach,2009,21489
121,Saatlen,2009,7132
122,Schwamendingen-Mitte,2009,10857
123,Hirzenbach,2009,11610
11,Rathaus,2010,3099
12,Hochschulen,2010,678
13,Lindenhof,2010,951
14,City,2010,835
21,Wollishofen,2010,15988
23,Leimbach,2010,5293
24,Enge,2010,8597
31,Alt-Wiedikon,2010,15988
33,Friesenberg,2010,10596
34,Sihlfeld,2010,20115
41,Werd,2010,4167
42,Langstrasse,2010,10379
44,Hard,2010,12883
51,Gewerbeschule,2010,9688
52,Escher Wyss,2010,3076
61,Unterstrass,2010,21233
63,Oberstrass,2010,10231
71,Fluntern,2010,7637
72,Hottingen,2010,10570
73,Hirslanden,2010,6998
74,Witikon,2010,10242
81,Seefeld,2010,4840
82,Mühlebach,2010,5679
83,Weinegg,2010,4999
91,Albisrieden,2010,17835
92,Altstetten,2010,30659
101,Höngg,2010,21179
102,Wipkingen,2010,15700
111,Affoltern,2010,22972
115,Oerlikon,2010,20787
119,Seebach,2010,22037
121,Saatlen,2010,7175
122,Schwamendingen-Mitte,2010,10903
123,Hirzenbach,2010,11459
11,Rathaus,2011,3140
12,Hochschulen,2011,681
13,Lindenhof,2011,950
14,City,2011,779
21,Wollishofen,2011,16055
23,Leimbach,2011,5340
24,Enge,2011,8684
31,Alt-Wiedikon,2011,16014
33,Friesenberg,2011,10622
34,Sihlfeld,2011,20307
41,Werd,2011,4189
42,Langstrasse,2011,10520
44,Hard,2011,12744
51,Gewerbeschule,2011,9795
52,Escher Wyss,2011,3129
61,Unterstrass,2011,21240
63,Oberstrass,2011,10316
71,Fluntern,2011,7873
72,Hottingen,2011,10461
73,Hirslanden,2011,7024
74,Witikon,2011,10258
81,Seefeld,2011,4908
82,Mühlebach,2011,5651
83,Weinegg,2011,4942
91,Albisrieden,2011,18432
92,Altstetten,2011,31381
101,Höngg,2011,21323
102,Wipkingen,2011,15869
111,Affoltern,2011,24437
115,Oerlikon,2011,21253
119,Seebach,2011,22255
121,Saatlen,2011,7131
122,Schwamendingen-Mitte,2011,10863
123,Hirzenbach,2011,11516
11,Rathaus,2012,3164
12,Hochschulen,2012,673
13,Lindenhof,2012,935
14,City,2012,799
21,Wollishofen,2012,16029
23,Leimbach,2012,5354
24,Enge,2012,8699
31,Alt-Wiedikon,2012,16109
33,Friesenberg,2012,10986
34,Sihlfeld,2012,20831
41,Werd,2012,4195
42,Langstrasse,2012,10560
44,Hard,2012,12994
51,Gewerbeschule,2012,9824
52,Escher Wyss,2012,3343
61,Unterstrass,2012,21442
63,Oberstrass,2012,10308
71,Fluntern,2012,7779
72,Hottingen,2012,10447
73,Hirslanden,2012,7131
74,Witikon,2012,10246
81,Seefeld,2012,4916
82,Mühlebach,2012,5745
83,Weinegg,2012,4783
91,Albisrieden,2012,18999
92,Altstetten,2012,31438
101,Höngg,2012,21537
102,Wipkingen,2012,15791
111,Affoltern,2012,24855
115,Oerlikon,2012,21331
119,Seebach,2012,23310
121,Saatlen,2012,7118
122,Schwamendingen-Mitte,2012,10920
123,Hirzenbach,2012,11404
11,Rathaus,2013,3194
12,Hochschulen,2013,665
13,Lindenhof,2013,923
14,City,2013,783
21,Wollishofen,2013,15937
23,Leimbach,2013,5730
24,Enge,2013,8836
31,Alt-Wiedikon,2013,16708
33,Friesenberg,2013,10696
34,Sihlfeld,2013,20931
41,Werd,2013,4188
42,Langstrasse,2013,10686
44,Hard,2013,13241
51,Gewerbeschule,2013,9625
52,Escher Wyss,2013,4010
61,Unterstrass,2013,21875
63,Oberstrass,2013,10452
71,Fluntern,2013,7856
72,Hottingen,2013,10708
73,Hirslanden,2013,7285
74,Witikon,2013,10267
81,Seefeld,2013,4978
82,Mühlebach,2013,5912
83,Weinegg,2013,5022
91,Albisrieden,2013,19145
92,Altstetten,2013,31116
101,Höngg,2013,21581
102,Wipkingen,2013,15835
111,Affoltern,2013,25082
115,Oerlikon,2013,21658
119,Seebach,2013,24008
121,Saatlen,2013,7280
122,Schwamendingen-Mitte,2013,11209
123,Hirzenbach,2013,11153
