Nr,Gemeinde,Wert,Klasse
192,Egg,8.44,7.0 - 8.9
193,Fällanden,7.19,7.0 - 8.9
194,Greifensee,7.72,7.0 - 8.9
195,Maur,8.08,7.0 - 8.9
196,Mönchaltorf,5.85,5.0 - 6.9
197,Schwerzenbach,7.28,7.0 - 8.9
198,Uster,6.8,5.0 - 6.9
199,Volketswil,4.8,3.4 - 4.9
200,Wangen-Brüttisellen,4.36,3.4 - 4.9
213,Brütten,7.17,7.0 - 8.9
215,Dättlikon,4.76,3.4 - 4.9
224,Pfungen,5.26,5.0 - 6.9
241,Aesch (ZH),9.29,9.0 - 10.9
242,Birmensdorf (ZH),8.35,7.0 - 8.9
243,Dietikon,7.46,7.0 - 8.9
244,Geroldswil,7.58,7.0 - 8.9
245,Oberengstringen,11.23,11.0 - 12.9
246,Oetwil an der Limmat,8.17,7.0 - 8.9
247,Schlieren,7.04,7.0 - 8.9
248,Uitikon,11,11.0 - 12.9
249,Unterengstringen,7.64,7.0 - 8.9
250,Urdorf,8.79,7.0 - 8.9
251,Weiningen (ZH),5.43,5.0 - 6.9
261,Zürich,8.68,7.0 - 8.9
1321,Feusisberg,5.43,5.0 - 6.9
1322,Freienbach,7.1,7.0 - 8.9
1323,Wollerau,6.02,5.0 - 6.9
2933,Buchberg,7.56,7.0 - 8.9
2938,Rüdlingen,6.1,5.0 - 6.9
4022,Bellikon,5.76,5.0 - 6.9
4023,Bergdietikon,9.15,9.0 - 10.9
4030,Killwangen,5.32,5.0 - 6.9
4031,Künten,4.84,3.4 - 4.9
4040,Spreitenbach,5.07,5.0 - 6.9
4048,Würenlos,6.88,5.0 - 6.9
4061,Arni (AG),4.34,3.4 - 4.9
4062,Berikon,6.21,5.0 - 6.9
4063,Bremgarten (AG),6.59,5.0 - 6.9
4066,Eggenwil,4.7,3.4 - 4.9
4067,Fischbach-Göslikon,4.69,3.4 - 4.9
4071,Jonen,4.86,3.4 - 4.9
4073,Oberlunkhofen,6.19,5.0 - 6.9
4074,Oberwil-Lieli,7.57,7.0 - 8.9
4075,Rudolfstetten-Friedlisberg,6.45,5.0 - 6.9
4079,Unterlunkhofen,4.5,3.4 - 4.9
4081,Widen,8.54,7.0 - 8.9
4083,Zufikon,6.45,5.0 - 6.9
4084,Islisberg,4.46,3.4 - 4.9
4226,Besenbüren,5.03,5.0 - 6.9
4238,Rottenschwil,3.37,3.4 - 4.9
4306,Fisibach,4.82,3.4 - 4.9
4308,Kaiserstuhl,6.3,5.0 - 6.9
4318,Schneisingen,9.19,9.0 - 10.9
4319,Siglistorf,3.86,3.4 - 4.9
