Alter,Geschlecht,Ausbildung,Anzahl
29,Frauen,Andere,2222
30,Frauen,Andere,2355
31,Frauen,Andere,2365
32,Frauen,Andere,2315
33,Frauen,Andere,2171
34,Frauen,Andere,2145
35,Frauen,Andere,2046
36,Frauen,Andere,1973
37,Frauen,Andere,1949
38,Frauen,Andere,1889
39,Frauen,Andere,1848
40,Frauen,Andere,1619
41,Frauen,Andere,1437
42,Frauen,Andere,1247
43,Frauen,Andere,1246
44,Frauen,Andere,1344
45,Frauen,Andere,1563
46,Frauen,Andere,1612
47,Frauen,Andere,1671
48,Frauen,Andere,1767
49,Frauen,Andere,1889
50,Frauen,Andere,1885
51,Frauen,Andere,1715
52,Frauen,Andere,1668
53,Frauen,Andere,1482
54,Frauen,Andere,1362
55,Frauen,Andere,1224
56,Frauen,Andere,1229
57,Frauen,Andere,1131
58,Frauen,Andere,1044
59,Frauen,Andere,1020
60,Frauen,Andere,1069
61,Frauen,Andere,1037
62,Frauen,Andere,1059
63,Frauen,Andere,1055
64,Frauen,Andere,1036
65,Frauen,Andere,1057
66,Frauen,Andere,1113
67,Frauen,Andere,1127
68,Frauen,Andere,1113
69,Frauen,Andere,1100
70,Frauen,Andere,1109
71,Frauen,Andere,1056
72,Frauen,Andere,991
73,Frauen,Andere,1081
74,Frauen,Andere,1084
75,Frauen,Andere,1109
76,Frauen,Andere,1141
77,Frauen,Andere,1188
78,Frauen,Andere,1089
79,Frauen,Andere,1086
80,Frauen,Andere,955
81,Frauen,Andere,891
82,Frauen,Andere,767
83,Frauen,Andere,641
84,Frauen,Andere,528
85,Frauen,Andere,434
86,Frauen,Andere,379
87,Frauen,Andere,347
88,Frauen,Andere,344
89,Frauen,Andere,337
90,Frauen,Andere,332
91,Frauen,Andere,292
92,Frauen,Andere,246
93,Frauen,Andere,165
94,Frauen,Andere,135
95,Frauen,Andere,116
96,Frauen,Andere,75
97,Frauen,Andere,79
98,Frauen,Andere,63
99,Frauen,Andere,104
0,Männer,Hochschulabschluss,2061
1,Männer,Hochschulabschluss,2047
2,Männer,Hochschulabschluss,1872
3,Männer,Hochschulabschluss,1693
4,Männer,Hochschulabschluss,1600
5,Männer,Hochschulabschluss,1458
6,Männer,Hochschulabschluss,1298
7,Männer,Hochschulabschluss,1253
8,Männer,Hochschulabschluss,1122
9,Männer,Hochschulabschluss,1108
10,Männer,Hochschulabschluss,1008
11,Männer,Hochschulabschluss,988
12,Männer,Hochschulabschluss,1011
13,Männer,Hochschulabschluss,956
14,Männer,Hochschulabschluss,833
15,Männer,Hochschulabschluss,803
16,Männer,Hochschulabschluss,852
17,Männer,Hochschulabschluss,837
18,Männer,Hochschulabschluss,780
19,Männer,Hochschulabschluss,843
20,Männer,Hochschulabschluss,1040
21,Männer,Hochschulabschluss,1295
22,Männer,Hochschulabschluss,1393
23,Männer,Hochschulabschluss,1539
24,Männer,Hochschulabschluss,1672
25,Männer,Hochschulabschluss,1744
26,Männer,Hochschulabschluss,1834
27,Männer,Hochschulabschluss,1778
28,Männer,Hochschulabschluss,1881
29,Männer,Hochschulabschluss,1707
30,Männer,Hochschulabschluss,1698
31,Männer,Hochschulabschluss,1823
32,Männer,Hochschulabschluss,2074
33,Männer,Hochschulabschluss,2128
34,Männer,Hochschulabschluss,2076
35,Männer,Hochschulabschluss,2067
36,Männer,Hochschulabschluss,1978
37,Männer,Hochschulabschluss,1848
38,Männer,Hochschulabschluss,1943
39,Männer,Hochschulabschluss,1983
40,Männer,Hochschulabschluss,1968
41,Männer,Hochschulabschluss,2184
42,Männer,Hochschulabschluss,2419
43,Männer,Hochschulabschluss,2304
44,Männer,Hochschulabschluss,2353
45,Männer,Hochschulabschluss,2444
46,Männer,Hochschulabschluss,2273
47,Männer,Hochschulabschluss,2157
48,Männer,Hochschulabschluss,2240
49,Männer,Hochschulabschluss,2036
50,Männer,Hochschulabschluss,1906
51,Männer,Hochschulabschluss,1660
52,Männer,Hochschulabschluss,1568
53,Männer,Hochschulabschluss,1377
54,Männer,Hochschulabschluss,1271
55,Männer,Hochschulabschluss,1211
56,Männer,Hochschulabschluss,1107
57,Männer,Hochschulabschluss,809
58,Männer,Hochschulabschluss,691
59,Männer,Hochschulabschluss,582
60,Männer,Hochschulabschluss,487
61,Männer,Hochschulabschluss,393
62,Männer,Hochschulabschluss,367
63,Männer,Hochschulabschluss,351
64,Männer,Hochschulabschluss,384
65,Männer,Hochschulabschluss,414
66,Männer,Hochschulabschluss,425
67,Männer,Hochschulabschluss,383
68,Männer,Hochschulabschluss,354
69,Männer,Hochschulabschluss,308
70,Männer,Hochschulabschluss,292
71,Männer,Hochschulabschluss,269
72,Männer,Hochschulabschluss,228
73,Männer,Hochschulabschluss,204
74,Männer,Hochschulabschluss,142
75,Männer,Hochschulabschluss,149
76,Männer,Hochschulabschluss,199
77,Männer,Hochschulabschluss,253
78,Männer,Hochschulabschluss,309
79,Männer,Hochschulabschluss,278
80,Männer,Hochschulabschluss,268
81,Männer,Hochschulabschluss,311
82,Männer,Hochschulabschluss,376
83,Männer,Hochschulabschluss,366
84,Männer,Hochschulabschluss,350
85,Männer,Hochschulabschluss,325
86,Männer,Hochschulabschluss,315
87,Männer,Hochschulabschluss,277
88,Männer,Hochschulabschluss,233
89,Männer,Hochschulabschluss,206
90,Männer,Hochschulabschluss,187
91,Männer,Hochschulabschluss,141
92,Männer,Hochschulabschluss,105
93,Männer,Hochschulabschluss,63
94,Männer,Hochschulabschluss,41
95,Männer,Hochschulabschluss,29
96,Männer,Hochschulabschluss,25
97,Männer,Hochschulabschluss,16
98,Männer,Hochschulabschluss,9
99,Männer,Hochschulabschluss,14
0,Männer,Andere,235
1,Männer,Andere,234
2,Männer,Andere,234
3,Männer,Andere,285
4,Männer,Andere,261
5,Männer,Andere,293
6,Männer,Andere,305
7,Männer,Andere,331
8,Männer,Andere,321
9,Männer,Andere,370
10,Männer,Andere,366
11,Männer,Andere,361
12,Männer,Andere,422
13,Männer,Andere,431
14,Männer,Andere,452
15,Männer,Andere,520
16,Männer,Andere,551
17,Männer,Andere,535
18,Männer,Andere,582
19,Männer,Andere,732
20,Männer,Andere,909
21,Männer,Andere,1080
22,Männer,Andere,1228
23,Männer,Andere,1385
24,Männer,Andere,1645
25,Männer,Andere,1764
26,Männer,Andere,2045
27,Männer,Andere,2221
28,Männer,Andere,2527
29,Männer,Andere,2748
30,Männer,Andere,2950
31,Männer,Andere,2917
32,Männer,Andere,2718
33,Männer,Andere,2370
34,Männer,Andere,2334
35,Männer,Andere,2205
36,Männer,Andere,2094
37,Männer,Andere,2028
38,Männer,Andere,1877
39,Männer,Andere,1618
40,Männer,Andere,1505
41,Männer,Andere,1256
42,Männer,Andere,1077
43,Männer,Andere,989
44,Männer,Andere,920
45,Männer,Andere,788
46,Männer,Andere,827
47,Männer,Andere,831
48,Männer,Andere,860
49,Männer,Andere,799
50,Männer,Andere,773
51,Männer,Andere,790
52,Männer,Andere,891
53,Männer,Andere,927
54,Männer,Andere,886
55,Männer,Andere,951
56,Männer,Andere,1029
57,Männer,Andere,1144
58,Männer,Andere,1238
59,Männer,Andere,1222
60,Männer,Andere,1353
61,Männer,Andere,1303
62,Männer,Andere,1366
63,Männer,Andere,1227
64,Männer,Andere,1193
65,Männer,Andere,1135
66,Männer,Andere,1069
67,Männer,Andere,1065
68,Männer,Andere,1030
69,Männer,Andere,1019
70,Männer,Andere,1016
71,Männer,Andere,927
72,Männer,Andere,848
73,Männer,Andere,856
74,Männer,Andere,817
75,Männer,Andere,824
76,Männer,Andere,802
77,Männer,Andere,644
78,Männer,Andere,659
79,Männer,Andere,552
80,Männer,Andere,521
81,Männer,Andere,469
82,Männer,Andere,388
83,Männer,Andere,316
84,Männer,Andere,274
85,Männer,Andere,261
86,Männer,Andere,223
87,Männer,Andere,187
88,Männer,Andere,164
89,Männer,Andere,121
90,Männer,Andere,96
91,Männer,Andere,72
92,Männer,Andere,66
93,Männer,Andere,47
94,Männer,Andere,31
95,Männer,Andere,21
96,Männer,Andere,18
97,Männer,Andere,12
98,Männer,Andere,7
99,Männer,Andere,10
